year,member,member_id,chamber,party,source,source_url
2025,Candi Mundon King,H0330,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0330
2025,Delores Oates,H0377,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0377
2025,Chris Obenshain,H0378,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0378
2025,Israel D. O'Quinn,H0242,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0242
2025,"Robert D. Orrock, Sr.",H0073,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0073
2025,David Owen,H0379,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0379
2025,Eric Phillips,H0384,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0384
2025,"Marcia S. ""Cia"" Price",H0284,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0284
2025,Sam Rasoul,H0266,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0266
2025,Atoosa R. Reaser,H0380,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0380
2025,David A. Reid,H0301,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0301
2025,Chris S. Runion,H0321,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0321
2025,Don Scott,H0322,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0322
2025,Phillip A. Scott,H0342,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0342
2025,Holly M. Seibold,H0351,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0351
2025,Briana D. Sewell,H0343,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0343
2025,Irene Shin,H0344,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0344
2025,Mark D. Sickles,H0172,House,D,verified fallback reference,https://house.vga.virginia.gov/members/H0172
2025,Marcus B. Simon,H0264,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0264
2025,Shelly A. Simonds,H0323,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0323
2025,JJ Singh,H0385,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0385
2025,"Richard C. ""Rip"" Sullivan, Jr.",H0269,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0269
2025,Anne Ferrell Tata,H0345,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0345
2025,Kim A. Taylor,H0346,House,R,verified fallback reference,https://house.vga.virginia.gov/members/H0346
2025,Joshua E. Thomas,H0382,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0382
2025,Luke E. Torian,H0227,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0227
2025,Kathy K.L. Tran,H0305,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0305
