Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
SB664,Public Service Companies,Official LIS subject,Electric Companies,Public Service Companies,CIBillSubjects.csv,Electric Companies,False,
SB664,Infrastructure,Official LIS subject,Infrastructure,,CIBillSubjects.csv,Infrastructure,False,
SB664,Data Centers,Official LIS subject,Data Centers,,CIBillSubjects.csv,Data Centers,False,
SB665,Authorities,Official LIS subject,Authorities,,CIBillSubjects.csv,Authorities,False,
SB665,"Waters of the State, Ports, and Harbors",Official LIS subject,"Waters of the State, Ports, and Harbors",,CIBillSubjects.csv,"Waters of the State, Ports, and Harbors",False,
SB665,Conservation,Official LIS subject,Stormwater Management,Conservation,CIBillSubjects.csv,Stormwater Management,False,
SB670,Insurance,Official LIS subject,Insurance,,CIBillSubjects.csv,Insurance,False,
SB670,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB670,Taxation,Official LIS subject,License Tax,Taxation,CIBillSubjects.csv,License Tax,False,
SB675,Fairfax County,Official LIS subject,Fairfax County,,CIBillSubjects.csv,Fairfax County,False,
SB675,"Gambling, Lotteries, Etc.",Official LIS subject,"Gambling, Lotteries, Etc.",,CIBillSubjects.csv,"Gambling, Lotteries, Etc.",False,
SB675,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB678,Education,Official LIS subject,Students,Education,CIBillSubjects.csv,Students,False,
SB678,Institutions of Higher Education; Other Educational and Cultural Institutions,Official LIS subject,Institutions of Higher Education; Other Educational and Cultural Institutions,,CIBillSubjects.csv,Institutions of Higher Education; Other Educational and Cultural Institutions,False,
SB682,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
SB682,Health,Official LIS subject,Health,,CIBillSubjects.csv,Health,False,
SB682,Professions and Occupations,Official LIS subject,Professions and Occupations,,CIBillSubjects.csv,Professions and Occupations,False,
SB684,Trade and Commerce,Official LIS subject,Trade and Commerce,,CIBillSubjects.csv,Trade and Commerce,False,
SB684,Children,Official LIS subject,Children,,CIBillSubjects.csv,Children,False,
SB685,Labor and Employment,Official LIS subject,Labor and Employment,,CIBillSubjects.csv,Labor and Employment,False,
SB685,Labor and Employment,Official LIS subject,Wages,Labor and Employment,CIBillSubjects.csv,Wages,False,
SB688,Public Service Companies,Official LIS subject,Public Service Companies,,CIBillSubjects.csv,Public Service Companies,False,
SB689,Crimes and Offenses Generally,Official LIS subject,Crimes and Offenses Generally,,CIBillSubjects.csv,Crimes and Offenses Generally,False,
SB689,"Gambling, Lotteries, Etc.",Official LIS subject,"Gambling, Lotteries, Etc.",,CIBillSubjects.csv,"Gambling, Lotteries, Etc.",False,
SB693,Property and Conveyances,Official LIS subject,Property and Conveyances,,CIBillSubjects.csv,Property and Conveyances,False,
SB693,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB694,Crimes and Offenses Generally,Official LIS subject,Crimes and Offenses Generally,,CIBillSubjects.csv,Crimes and Offenses Generally,False,
SB694,"Gambling, Lotteries, Etc.",Official LIS subject,"Gambling, Lotteries, Etc.",,CIBillSubjects.csv,"Gambling, Lotteries, Etc.",False,
