member_id,MBR_NAME,party,topic_name,topic_vote_events,eligible_topic_events,party_break_events,cross_party_events,cross_party_pct
H0284,"Marcia S. ""Cia"" Price",D,Unclassified,621,607,32,12,1.9769357495881383
H0347,"H. Otto Wachsmann, Jr.",R,Taxes and Revenue,50,50,11,11,22.0
H0056,Terry G. Kilgore,R,Taxes and Revenue,57,57,12,11,19.298245614035086
H0395,John Chilton McAuliff,D,Transportation,97,85,11,11,12.941176470588237
H0308,Joseph P. McNamara,R,Housing,99,96,14,11,11.458333333333332
H0335,Mike A. Cherry,R,Labor and Employment,190,189,12,11,5.82010582010582
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Education,208,198,16,11,5.555555555555555
H0224,James W. Morefield,R,Labor and Employment,222,216,15,11,5.092592592592593
H0350,Ellen H. McLaughlin,R,Education,274,265,14,11,4.150943396226415
H0395,John Chilton McAuliff,D,Taxes and Revenue,48,40,10,10,25.0
H0266,Sam Rasoul,D,Taxes and Revenue,53,52,10,10,19.230769230769234
H0350,Ellen H. McLaughlin,R,Taxes and Revenue,63,55,11,10,18.181818181818183
H0267,"Robert S. Bloxom, Jr.",R,Insurance,68,68,10,10,14.705882352941178
H0395,John Chilton McAuliff,D,Housing,88,81,11,10,12.345679012345679
H0369,Hillary Pugh Kent,R,Environment and Conservation,90,90,14,10,11.11111111111111
H0308,Joseph P. McNamara,R,Elections and Voting,102,102,12,10,9.803921568627452
H0384,Eric Phillips,R,Elections and Voting,138,137,11,10,7.2992700729927
H0347,"H. Otto Wachsmann, Jr.",R,Criminal Justice,146,145,13,10,6.896551724137931
H0347,"H. Otto Wachsmann, Jr.",R,Energy and Utilities,147,147,12,10,6.802721088435375
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Energy and Utilities,158,154,17,10,6.493506493506493
H0347,"H. Otto Wachsmann, Jr.",R,Labor and Employment,167,167,14,10,5.9880239520958085
H0224,James W. Morefield,R,Criminal Justice,173,168,14,10,5.952380952380952
H0267,"Robert S. Bloxom, Jr.",R,Criminal Justice,178,173,10,10,5.780346820809249
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Labor and Employment,192,181,14,10,5.524861878453039
