year,party,topic_name,voting_tendency,delegates
2026,D,General Assembly,INSUFFICIENT DATA,63
2026,R,General Assembly,INSUFFICIENT DATA,36
2026,D,Health,INSUFFICIENT DATA,65
2026,R,Health,INSUFFICIENT DATA,36
2026,D,Health and Healthcare,YES,65
2026,R,Health and Healthcare,INSUFFICIENT DATA,2
2026,R,Health and Healthcare,MIXED,7
2026,R,Health and Healthcare,YES,28
2026,D,Higher Education,YES,65
2026,R,Higher Education,INSUFFICIENT DATA,2
2026,R,Higher Education,MIXED,31
2026,R,Higher Education,NO,1
2026,R,Higher Education,YES,3
2026,D,Housing,YES,65
2026,R,Housing,INSUFFICIENT DATA,1
2026,R,Housing,MIXED,8
2026,R,Housing,NO,28
2026,D,Indian Tribes,INSUFFICIENT DATA,55
2026,D,Indian Tribes,YES,10
2026,R,Indian Tribes,INSUFFICIENT DATA,34
2026,R,Indian Tribes,YES,2
2026,D,Insurance,YES,65
2026,R,Insurance,INSUFFICIENT DATA,2
2026,R,Insurance,MIXED,31
2026,R,Insurance,YES,4
2026,D,Labor and Employment,YES,65
2026,R,Labor and Employment,INSUFFICIENT DATA,1
2026,R,Labor and Employment,MIXED,18
2026,R,Labor and Employment,NO,18
2026,D,Land Development and Use,INSUFFICIENT DATA,64
2026,R,Land Development and Use,INSUFFICIENT DATA,35
2026,D,Local Government,YES,65
2026,R,Local Government,INSUFFICIENT DATA,2
2026,R,Local Government,MIXED,26
2026,R,Local Government,NO,7
2026,R,Local Government,YES,2
2026,D,Local Government and Officials,INSUFFICIENT DATA,65
2026,R,Local Government and Officials,INSUFFICIENT DATA,36
2026,D,Marriage and Domestic Relations,INSUFFICIENT DATA,2
2026,D,Marriage and Domestic Relations,YES,63
2026,R,Marriage and Domestic Relations,INSUFFICIENT DATA,1
2026,R,Marriage and Domestic Relations,MIXED,19
2026,R,Marriage and Domestic Relations,YES,16
2026,D,Motor Vehicles,INSUFFICIENT DATA,64
2026,R,Motor Vehicles,INSUFFICIENT DATA,35
2026,D,"Pensions, Benefits, and Retirement",INSUFFICIENT DATA,60
2026,D,"Pensions, Benefits, and Retirement",YES,5
2026,R,"Pensions, Benefits, and Retirement",INSUFFICIENT DATA,34
2026,R,"Pensions, Benefits, and Retirement",YES,2
2026,D,Professions and Occupations,INSUFFICIENT DATA,6
2026,D,Professions and Occupations,YES,59
2026,R,Professions and Occupations,INSUFFICIENT DATA,1
2026,R,Professions and Occupations,MIXED,27
2026,R,Professions and Occupations,YES,8
2026,D,Property and Conveyances,INSUFFICIENT DATA,64
2026,R,Property and Conveyances,INSUFFICIENT DATA,36
2026,D,Public Safety,YES,65
2026,R,Public Safety,INSUFFICIENT DATA,2
2026,R,Public Safety,MIXED,32
2026,R,Public Safety,NO,1
2026,R,Public Safety,YES,2
2026,D,Public Service Companies,INSUFFICIENT DATA,65
2026,R,Public Service Companies,INSUFFICIENT DATA,37
2026,D,Social Services,INSUFFICIENT DATA,3
2026,D,Social Services,YES,62
2026,R,Social Services,INSUFFICIENT DATA,1
2026,R,Social Services,MIXED,9
2026,R,Social Services,NO,1
2026,R,Social Services,YES,25
2026,D,Solar Energy,INSUFFICIENT DATA,64
2026,R,Solar Energy,INSUFFICIENT DATA,35
2026,D,State Government,YES,65
2026,R,State Government,INSUFFICIENT DATA,1
2026,R,State Government,MIXED,29
2026,R,State Government,YES,6
