year,Bill_id,vote_id,vote_date,member_id,recorded_vote,vote_statement,intended_vote,intended_vote_explicit
2026,HB229,2619997,2026-02-05T08:41:31,H0206,X,Delegate Knight was recorded as not voting. Intended to vote nay.,N,True
2026,HB229,2619997,2026-02-05T08:41:31,H0253,X,Delegate Austin was recorded as not voting. Intended to vote nay.,N,True
2026,HB257,2619998,2026-02-05T08:41:56,H0206,X,Delegate Knight was recorded as not voting. Intended to vote nay.,N,True
2026,HB257,2619998,2026-02-05T08:41:56,H0390,Y,Delegate Cornett was recorded as yea. Intended to vote nay.,N,True
2026,HB277,2619999,2026-02-05T08:42:27,H0206,X,Delegate Knight was recorded as not voting. Intended to vote yea.,Y,True
2026,HB277,2619999,2026-02-05T08:42:27,H0371,Y,Delegate Laufer was recorded as yea. Intended to vote nay.,N,True
2026,SB342,SV1016,2026-03-06T11:32:13,S0132,N,"Senator Cifers stated that he voted nay on the question of agreeing to the amendment proposed by the House of Delegates to S.B. 342, whereas he intended to vote yea.",Y,True
2026,HB70,SV1064,2026-03-09T15:13:01,S0096,Y,"Senator DeSteph stated that he voted yea on the question of the passage of H.B. 70, whereas he intended to vote nay.",N,True
2026,SB543,SV1103,2026-03-10T12:44:36,S0130,Y,"Senator Williams Graves stated that she voted yea on the question of agreeing to the amendment proposed by the House of Delegates to S.B. 543, whereas she intended to vote nay.",N,True
2026,SB435,SV112,2026-01-28T12:24:45,S0120,Y,"Senator Durant stated that she voted yea on the question of the passage of S.B. 435, whereas she intended to vote nay.",N,True
2026,HB1072,SV1125,2026-03-10T14:14:17,S0101,N,"Senator Suetterlein stated that he voted nay on the question of the passage of H.B. 1072, whereas he intended to vote yea.",Y,True
2026,HB910,SV1152,2026-03-10T15:34:27,S0099,N,"Senator Sturtevant stated that he voted nay on the question of the passage of H.B. 910, whereas he intended to vote yea.",Y,True
2026,HB1523,SV1163,2026-03-10T16:02:38,S0118,Y,"Senator Craig stated that she voted yea on the question of the passage of H.B. 1523, whereas she intended to vote nay.",N,True
2026,HB1531,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1530,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1529,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1500,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1464,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1450,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1414,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1403,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB1401,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB438,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB439,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB577,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
2026,HB606,SV1212,2026-03-11T10:37:07,S0126,Y,"Senator Roem stated that she voted yea on the question of the passage of H.B. 1006, H.B. 69, H.B. 128, H.B. 176, H.B. 316, H.B. 426, H.B. 438, H.B. 439, H.B. 577, H.B. 606, H.B. 701, H.B. 733, H.B. 795, H.B. 1166, H.B. 1188, H.B. 1214, H.B. 1256, H.B. 1357, H.B. 1400, H.B. 1401, H.B. 1403, H.B. 1414, H.B. 1450, H.B. 1464, H.B. 1500, H.B. 1529, H.B. 1530, and H.B. 1531 whereas she intended to vote nay on the question of the passage of H.B. 1403.",N,True
