year,classification,bill_count,total_bills,bill_percentage
2026,Official LIS subject,45,3646,1.2342
2026,Derived from LIS bill summary,482,3646,13.22
2026,Derived from LIS bill description,2425,3646,66.5112
2026,Unclassified,694,3646,19.0346
