member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0247,Michael J. Webert,R,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,200.0,87.0,194.0,83.0,-111.0,0.0,4.0,4.0,0.0,4.819277108433735,4.819277108433735,18.0,6.0,-12.0,Michael J. Webert,Michael J. Webert,R,R
H0253,Terry L. Austin,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,191.0,86.0,189.0,86.0,-103.0,2.0,5.0,3.0,1.058201058201058,5.813953488372093,4.755752430171035,5.0,5.0,0.0,Terry L. Austin,Terry L. Austin,R,R
H0329,Bill Wiley,R,Transportation,Derived from LIS bill summary,Present both years,True,True,155.0,76.0,155.0,75.0,-80.0,3.0,5.0,2.0,1.935483870967742,6.666666666666667,4.731182795698925,5.0,5.0,0.0,Bill Wiley,Bill Wiley,R,R
H0349,Jackie H. Glass,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,174.0,60.0,169.0,57.0,-112.0,1.0,3.0,2.0,0.591715976331361,5.263157894736842,4.67144191840548,3.0,3.0,0.0,Jackie H. Glass,Jackie H. Glass,D,D
H0284,"Marcia S. ""Cia"" Price",D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,190.0,78.0,188.0,78.0,-110.0,1.0,4.0,3.0,0.5319148936170213,5.128205128205128,4.596290234588107,5.0,7.0,2.0,"Marcia S. ""Cia"" Price","Marcia S. ""Cia"" Price",D,D
H0348,Wren M. Williams,R,Local Government,Derived from LIS bill summary,Present both years,True,True,165.0,58.0,160.0,55.0,-105.0,16.0,8.0,-8.0,10.0,14.545454545454543,4.545454545454543,25.0,10.0,-15.0,Wren M. Williams,Wren M. Williams,R,R
H0351,Holly M. Seibold,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,230.0,87.0,224.0,81.0,-143.0,1.0,4.0,3.0,0.4464285714285714,4.938271604938271,4.4918430335097,2.0,6.0,4.0,Holly M. Seibold,Holly M. Seibold,D,D
H0357,Will Davis,R,Local Government,Derived from LIS bill summary,Present both years,True,True,156.0,52.0,155.0,52.0,-103.0,2.0,3.0,1.0,1.2903225806451613,5.769230769230769,4.478908188585608,4.0,3.0,-1.0,Will Davis,Will Davis,R,R
H0382,Joshua E. Thomas,D,Transportation,Derived from LIS bill summary,Present both years,True,True,127.0,68.0,126.0,67.0,-59.0,0.0,3.0,3.0,0.0,4.477611940298507,4.477611940298507,2.0,4.0,2.0,Joshua E. Thomas,Joshua E. Thomas,D,D
H0383,Eric R. Zehr,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,175.0,73.0,172.0,70.0,-102.0,0.0,3.0,3.0,0.0,4.285714285714286,4.285714285714286,14.0,7.0,-7.0,Eric R. Zehr,Eric R. Zehr,R,R
H0308,Joseph P. McNamara,R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,185.0,66.0,183.0,64.0,-119.0,1.0,3.0,2.0,0.546448087431694,4.6875,4.141051912568306,9.0,3.0,-6.0,Joseph P. McNamara,Joseph P. McNamara,R,R
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,164.0,79.0,157.0,75.0,-82.0,4.0,5.0,1.0,2.547770700636943,6.666666666666667,4.118895966029724,8.0,7.0,-1.0,"Hyland F. ""Buddy"" Fowler, Jr.","Hyland F. ""Buddy"" Fowler, Jr.",R,R
H0267,"Robert S. Bloxom, Jr.",R,Local Government,Derived from LIS bill summary,Present both years,True,True,201.0,71.0,199.0,71.0,-128.0,23.0,11.0,-12.0,11.55778894472362,15.492957746478872,3.9351688017552515,26.0,11.0,-15.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0262,"James A. ""Jay"" Leftwich",R,Labor and Employment,Derived from LIS bill summary,Present both years,True,True,185.0,68.0,181.0,67.0,-114.0,1.0,3.0,2.0,0.5524861878453038,4.477611940298507,3.9251257524532033,7.0,4.0,-3.0,"James A. ""Jay"" Leftwich","James A. ""Jay"" Leftwich",R,R
H0266,Sam Rasoul,D,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,253.0,87.0,235.0,85.0,-150.0,2.0,4.0,2.0,0.851063829787234,4.705882352941177,3.8548185231539427,3.0,4.0,1.0,Sam Rasoul,Sam Rasoul,D,D
H0328,Scott A. Wyatt,R,Criminal Justice,Derived from LIS bill summary,Present both years,True,True,201.0,75.0,200.0,75.0,-125.0,3.0,4.0,1.0,1.5,5.333333333333334,3.833333333333334,10.0,4.0,-6.0,Scott A. Wyatt,Scott A. Wyatt,R,R
