member_id,MBR_NAME,party,member_status,comparable_sample,directional_votes_2025,directional_votes_2026,eligible_cross_party_votes_2025,eligible_cross_party_votes_2026,cross_party_votes_2025,cross_party_votes_2026,cross_party_vote_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_breaks_2025,party_breaks_2026,party_break_change,party_break_pct_2025,party_break_pct_2026,party_break_pct_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0314,Joshua G. Cole,D,Present both years,True,1486.0,2175.0,1475.0,2143.0,6.0,21.0,15.0,0.4067796610169492,0.979934671021932,0.5731550100049828,22.0,31.0,9.0,1.4804845222072678,1.4252873563218391,-0.05519716588542867,Joshua G. Cole,Joshua G. Cole,D,D
H0343,Briana D. Sewell,D,Present both years,True,1698.0,2391.0,1683.0,2370.0,7.0,22.0,15.0,0.41592394533571,0.9282700421940928,0.5123460968583828,18.0,40.0,22.0,1.060070671378092,1.6729401923881222,0.6128695210100301,Briana D. Sewell,Briana D. Sewell,D,D
H0321,Chris S. Runion,R,Present both years,True,1420.0,1916.0,1405.0,1900.0,20.0,36.0,16.0,1.4234875444839856,1.8947368421052635,0.4712492976212779,79.0,114.0,35.0,5.563380281690141,5.949895615866389,0.3865153341762477,Chris S. Runion,Chris S. Runion,R,R
H0340,Michelle Lopes Maldonado,D,Present both years,True,1568.0,2262.0,1554.0,2241.0,1.0,12.0,11.0,0.0643500643500643,0.535475234270415,0.4711251699203507,10.0,19.0,9.0,0.6377551020408163,0.8399646330680812,0.2022095310272649,Michelle Lopes Maldonado,Michelle Lopes Maldonado,D,D
H0354,Katrina Callsen,D,Present both years,True,1606.0,2219.0,1597.0,2191.0,2.0,13.0,11.0,0.1252348152786474,0.5933363760839799,0.4681015608053325,16.0,19.0,3.0,0.99626400996264,0.8562415502478594,-0.14002245971478056,Katrina Callsen,Katrina Callsen,D,D
H0231,Tony O. Wilt,R,Present both years,True,1462.0,2131.0,1440.0,2116.0,46.0,77.0,31.0,3.194444444444444,3.638941398865784,0.44449695442133974,82.0,131.0,49.0,5.60875512995896,6.147348662599718,0.5385935326407578,Tony O. Wilt,Tony O. Wilt,R,R
H0356,Rae Cousins,D,Present both years,True,1728.0,2611.0,1708.0,2592.0,2.0,13.0,11.0,0.117096018735363,0.5015432098765432,0.3844471911411802,17.0,18.0,1.0,0.9837962962962964,0.689391037916507,-0.29440525837978937,Rae Cousins,Rae Cousins,D,D
H0375,Adele Y. McClure,D,Present both years,True,1432.0,2094.0,1421.0,2080.0,3.0,12.0,9.0,0.211118930330753,0.576923076923077,0.36580414659232396,15.0,22.0,7.0,1.047486033519553,1.0506208213944603,0.0031347878749072855,Adele Y. McClure,Adele Y. McClure,D,D
H0372,Destiny LeVere Bolling,D,Present both years,True,1489.0,2251.0,1465.0,2232.0,0.0,8.0,8.0,0.0,0.3584229390681003,0.3584229390681003,6.0,16.0,10.0,0.4029550033579583,0.7107952021323856,0.30784019877442725,Destiny LeVere Bolling,Destiny LeVere Bolling,D,D
H0351,Holly M. Seibold,D,Present both years,True,1420.0,1930.0,1410.0,1909.0,2.0,9.0,7.0,0.1418439716312056,0.4714510214772132,0.3296070498460076,12.0,21.0,9.0,0.8450704225352111,1.0880829015544042,0.2430124790191931,Holly M. Seibold,Holly M. Seibold,D,D
