year,topic_name,classification,party,mixed_delegates,no_delegates,yes_delegates,classified_delegates
2025,Agriculture and Food,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Agriculture and Food,Derived from LIS bill summary,R,31.0,0.0,18.0,49.0
2025,Behavioral Health,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Behavioral Health,Derived from LIS bill summary,R,36.0,0.0,13.0,49.0
2025,Budget and Appropriations,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Budget and Appropriations,Derived from LIS bill summary,R,45.0,2.0,2.0,49.0
2025,Business and Commerce,Derived from LIS bill description,D,0.0,0.0,20.0,20.0
2025,Business and Commerce,Derived from LIS bill description,R,6.0,0.0,5.0,11.0
2025,Business and Commerce,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Business and Commerce,Derived from LIS bill summary,R,44.0,0.0,5.0,49.0
2025,Courts and Civil Law,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Courts and Civil Law,Derived from LIS bill summary,R,45.0,4.0,0.0,49.0
2025,Criminal Justice,Derived from LIS bill description,D,0.0,0.0,51.0,51.0
2025,Criminal Justice,Derived from LIS bill description,R,18.0,0.0,29.0,47.0
2025,Criminal Justice,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Criminal Justice,Derived from LIS bill summary,R,43.0,0.0,6.0,49.0
2025,Education,Derived from LIS bill description,D,0.0,0.0,51.0,51.0
2025,Education,Derived from LIS bill description,R,32.0,0.0,15.0,47.0
2025,Education,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Education,Derived from LIS bill summary,R,37.0,0.0,12.0,49.0
2025,Elections and Voting,Derived from LIS bill description,D,0.0,0.0,51.0,51.0
2025,Elections and Voting,Derived from LIS bill description,R,39.0,8.0,0.0,47.0
2025,Elections and Voting,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Elections and Voting,Derived from LIS bill summary,R,37.0,11.0,0.0,48.0
2025,Energy and Utilities,Derived from LIS bill description,D,0.0,0.0,11.0,11.0
2025,Energy and Utilities,Derived from LIS bill description,R,1.0,8.0,0.0,9.0
2025,Energy and Utilities,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Energy and Utilities,Derived from LIS bill summary,R,35.0,14.0,0.0,49.0
2025,Environment and Conservation,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Environment and Conservation,Derived from LIS bill summary,R,21.0,0.0,28.0,49.0
2025,Family and Children,Derived from LIS bill description,D,0.0,0.0,40.0,40.0
2025,Family and Children,Derived from LIS bill description,R,0.0,0.0,33.0,33.0
2025,Family and Children,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Family and Children,Derived from LIS bill summary,R,17.0,0.0,32.0,49.0
2025,Firearms,Derived from LIS bill description,D,0.0,0.0,12.0,12.0
2025,Firearms,Derived from LIS bill description,R,0.0,10.0,0.0,10.0
2025,Firearms,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Firearms,Derived from LIS bill summary,R,3.0,44.0,1.0,48.0
2025,Health and Healthcare,Derived from LIS bill description,D,0.0,0.0,12.0,12.0
2025,Health and Healthcare,Derived from LIS bill description,R,0.0,0.0,10.0,10.0
2025,Health and Healthcare,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Health and Healthcare,Derived from LIS bill summary,R,29.0,0.0,20.0,49.0
2025,Higher Education,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Higher Education,Derived from LIS bill summary,R,28.0,0.0,21.0,49.0
2025,Housing,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Housing,Derived from LIS bill summary,R,35.0,13.0,0.0,48.0
2025,Insurance,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Insurance,Derived from LIS bill summary,R,20.0,1.0,27.0,48.0
2025,Labor and Employment,Derived from LIS bill description,D,0.0,0.0,50.0,50.0
2025,Labor and Employment,Derived from LIS bill description,R,6.0,41.0,0.0,47.0
2025,Labor and Employment,Derived from LIS bill summary,D,0.0,0.0,51.0,51.0
2025,Labor and Employment,Derived from LIS bill summary,R,47.0,1.0,1.0,49.0
