Bill_id,topic_name,classification
HB469,Unclassified,Unclassified
HB472,Unclassified,Unclassified
HB475,Unclassified,Unclassified
HB476,Unclassified,Unclassified
HB479,Unclassified,Unclassified
HB483,Unclassified,Unclassified
HB487,Unclassified,Unclassified
HB491,Unclassified,Unclassified
HB496,Unclassified,Unclassified
HB501,Unclassified,Unclassified
HB505,Unclassified,Unclassified
HB506,Unclassified,Unclassified
HB507,Unclassified,Unclassified
HB510,Unclassified,Unclassified
HB511,Unclassified,Unclassified
HB513,Unclassified,Unclassified
HB514,Unclassified,Unclassified
HB515,Unclassified,Unclassified
HB517,Unclassified,Unclassified
HB518,Unclassified,Unclassified
HB520,Unclassified,Unclassified
HB522,Unclassified,Unclassified
HB524,Unclassified,Unclassified
HB526,Unclassified,Unclassified
HB528,Unclassified,Unclassified
HB529,Unclassified,Unclassified
HB531,Unclassified,Unclassified
HB533,Unclassified,Unclassified
HB537,Unclassified,Unclassified
HB542,Unclassified,Unclassified
HB544,Unclassified,Unclassified
HB545,Unclassified,Unclassified
HB553,Unclassified,Unclassified
HB555,Unclassified,Unclassified
HB558,Unclassified,Unclassified
HB559,Unclassified,Unclassified
HB560,Unclassified,Unclassified
HB564,Unclassified,Unclassified
HB567,Unclassified,Unclassified
HB574,Unclassified,Unclassified
HB575,Unclassified,Unclassified
HB576,Unclassified,Unclassified
HB580,Unclassified,Unclassified
HB582,Unclassified,Unclassified
HB585,Unclassified,Unclassified
HB589,Unclassified,Unclassified
HB591,Unclassified,Unclassified
HB593,Unclassified,Unclassified
HB595,Unclassified,Unclassified
HB598,Unclassified,Unclassified
HB599,Unclassified,Unclassified
HB600,Unclassified,Unclassified
HB601,Unclassified,Unclassified
HB602,Unclassified,Unclassified
HB603,Unclassified,Unclassified
HB604,Unclassified,Unclassified
HB608,Unclassified,Unclassified
HB610,Unclassified,Unclassified
HB611,Unclassified,Unclassified
HB614,Unclassified,Unclassified
HB619,Unclassified,Unclassified
HB620,Unclassified,Unclassified
HB621,Unclassified,Unclassified
HB637,Unclassified,Unclassified
HB638,Unclassified,Unclassified
HB642,Unclassified,Unclassified
HB647,Unclassified,Unclassified
HB648,Unclassified,Unclassified
HB650,Unclassified,Unclassified
HB654,Unclassified,Unclassified
HB655,Unclassified,Unclassified
HB657,Unclassified,Unclassified
HB659,Unclassified,Unclassified
HB660,Unclassified,Unclassified
HB665,Unclassified,Unclassified
HB667,Unclassified,Unclassified
HB671,Unclassified,Unclassified
HB673,Unclassified,Unclassified
HB679,Unclassified,Unclassified
HB680,Unclassified,Unclassified
HB685,Unclassified,Unclassified
HB689,Unclassified,Unclassified
HB690,Unclassified,Unclassified
HB695,Unclassified,Unclassified
HB701,Unclassified,Unclassified
HB703,Unclassified,Unclassified
HB706,Unclassified,Unclassified
HB708,Unclassified,Unclassified
HB709,Unclassified,Unclassified
HB710,Unclassified,Unclassified
HB712,Unclassified,Unclassified
HB714,Unclassified,Unclassified
HB718,Unclassified,Unclassified
HB719,Unclassified,Unclassified
HB723,Unclassified,Unclassified
HB725,Unclassified,Unclassified
HB726,Unclassified,Unclassified
HB729,Unclassified,Unclassified
HB730,Unclassified,Unclassified
HB731,Unclassified,Unclassified
HB732,Unclassified,Unclassified
HB733,Unclassified,Unclassified
HB734,Unclassified,Unclassified
HB735,Unclassified,Unclassified
HB741,Unclassified,Unclassified
HB742,Unclassified,Unclassified
HB743,Unclassified,Unclassified
HB745,Unclassified,Unclassified
HB750,Unclassified,Unclassified
HB751,Unclassified,Unclassified
HB752,Unclassified,Unclassified
HB754,Unclassified,Unclassified
HB755,Unclassified,Unclassified
HB756,Unclassified,Unclassified
HB765,Unclassified,Unclassified
HB766,Unclassified,Unclassified
HB769,Unclassified,Unclassified
HB771,Unclassified,Unclassified
HB772,Unclassified,Unclassified
HB776,Unclassified,Unclassified
HB778,Unclassified,Unclassified
HB780,Unclassified,Unclassified
HB788,Unclassified,Unclassified
HB790,Unclassified,Unclassified
HB791,Unclassified,Unclassified
HB792,Unclassified,Unclassified
HB793,Unclassified,Unclassified
HB796,Unclassified,Unclassified
HB799,Unclassified,Unclassified
HB800,Unclassified,Unclassified
HB801,Unclassified,Unclassified
HB802,Unclassified,Unclassified
HB803,Unclassified,Unclassified
HB808,Unclassified,Unclassified
HB810,Unclassified,Unclassified
HB811,Unclassified,Unclassified
HB814,Unclassified,Unclassified
HB817,Unclassified,Unclassified
HB818,Unclassified,Unclassified
HB821,Unclassified,Unclassified
HB822,Unclassified,Unclassified
HB823,Unclassified,Unclassified
HB825,Unclassified,Unclassified
HB827,Unclassified,Unclassified
HB832,Unclassified,Unclassified
HB833,Unclassified,Unclassified
HB840,Unclassified,Unclassified
HB841,Unclassified,Unclassified
HB843,Unclassified,Unclassified
HB847,Unclassified,Unclassified
HB852,Unclassified,Unclassified
HB856,Unclassified,Unclassified
HB857,Unclassified,Unclassified
HB858,Unclassified,Unclassified
HB860,Unclassified,Unclassified
HB862,Unclassified,Unclassified
HB864,Unclassified,Unclassified
HB870,Unclassified,Unclassified
HB872,Unclassified,Unclassified
HB874,Unclassified,Unclassified
HB875,Unclassified,Unclassified
HB876,Unclassified,Unclassified
HB880,Unclassified,Unclassified
HB881,Unclassified,Unclassified
HB883,Unclassified,Unclassified
HB885,Unclassified,Unclassified
HB887,Unclassified,Unclassified
HB888,Unclassified,Unclassified
HB890,Unclassified,Unclassified
HB894,Unclassified,Unclassified
HB896,Unclassified,Unclassified
HB902,Unclassified,Unclassified
HB904,Unclassified,Unclassified
HB908,Unclassified,Unclassified
HB911,Unclassified,Unclassified
HB913,Unclassified,Unclassified
HB917,Unclassified,Unclassified
HB922,Unclassified,Unclassified
HB924,Unclassified,Unclassified
HB925,Unclassified,Unclassified
HB929,Unclassified,Unclassified
HB931,Unclassified,Unclassified
HB932,Unclassified,Unclassified
HB933,Unclassified,Unclassified
HB934,Unclassified,Unclassified
HB936,Unclassified,Unclassified
HB937,Unclassified,Unclassified
HB938,Unclassified,Unclassified
HB939,Unclassified,Unclassified
HB940,Unclassified,Unclassified
HB942,Unclassified,Unclassified
HB943,Unclassified,Unclassified
HB947,Unclassified,Unclassified
HB949,Unclassified,Unclassified
HB950,Unclassified,Unclassified
HB951,Unclassified,Unclassified
HB952,Unclassified,Unclassified
HB957,Unclassified,Unclassified
HB965,Unclassified,Unclassified
HB969,Unclassified,Unclassified
HB970,Unclassified,Unclassified
HB973,Unclassified,Unclassified
HB974,Unclassified,Unclassified
HB975,Unclassified,Unclassified
HB980,Unclassified,Unclassified
HB986,Unclassified,Unclassified
HB988,Unclassified,Unclassified
HB992,Unclassified,Unclassified
HB993,Unclassified,Unclassified
HB994,Unclassified,Unclassified
HB997,Unclassified,Unclassified
HB998,Unclassified,Unclassified
HB999,Unclassified,Unclassified
HB1001,Unclassified,Unclassified
HB1002,Unclassified,Unclassified
HB1006,Unclassified,Unclassified
HB1007,Unclassified,Unclassified
HB1009,Unclassified,Unclassified
HB1011,Unclassified,Unclassified
HB1012,Unclassified,Unclassified
HB1013,Unclassified,Unclassified
HB1016,Unclassified,Unclassified
HB1018,Unclassified,Unclassified
HB1020,Unclassified,Unclassified
HB1024,Unclassified,Unclassified
HB1026,Unclassified,Unclassified
HB1028,Unclassified,Unclassified
HB1033,Unclassified,Unclassified
HB1034,Unclassified,Unclassified
HB1036,Unclassified,Unclassified
HB1037,Unclassified,Unclassified
HB1039,Unclassified,Unclassified
HB1040,Unclassified,Unclassified
HB1042,Unclassified,Unclassified
HB1043,Unclassified,Unclassified
HB1045,Unclassified,Unclassified
HB1047,Unclassified,Unclassified
HB1048,Unclassified,Unclassified
HB1049,Unclassified,Unclassified
HB1050,Unclassified,Unclassified
HB1053,Unclassified,Unclassified
HB1054,Unclassified,Unclassified
HB1055,Unclassified,Unclassified
HB1057,Unclassified,Unclassified
HB1064,Unclassified,Unclassified
HB1067,Unclassified,Unclassified
HB1068,Unclassified,Unclassified
HB1069,Unclassified,Unclassified
HB1071,Unclassified,Unclassified
HB1072,Unclassified,Unclassified
HB1073,Unclassified,Unclassified
HB1075,Unclassified,Unclassified
HB1076,Unclassified,Unclassified
HB1088,Unclassified,Unclassified
HB1096,Unclassified,Unclassified
HB1097,Unclassified,Unclassified
HB1098,Unclassified,Unclassified
HB1103,Unclassified,Unclassified
HB1107,Unclassified,Unclassified
HB1108,Unclassified,Unclassified
HB1110,Unclassified,Unclassified
HB1111,Unclassified,Unclassified
HB1117,Unclassified,Unclassified
HB1119,Unclassified,Unclassified
HB1120,Unclassified,Unclassified
HB1121,Unclassified,Unclassified
HB1122,Unclassified,Unclassified
HB1126,Unclassified,Unclassified
HB1127,Unclassified,Unclassified
HB1128,Unclassified,Unclassified
HB1134,Unclassified,Unclassified
HB1136,Unclassified,Unclassified
HB1137,Unclassified,Unclassified
HB1139,Unclassified,Unclassified
HB1140,Unclassified,Unclassified
HB1143,Unclassified,Unclassified
HB1146,Unclassified,Unclassified
HB1148,Unclassified,Unclassified
HB1149,Unclassified,Unclassified
HB1150,Unclassified,Unclassified
HB1152,Unclassified,Unclassified
HB1153,Unclassified,Unclassified
HB1154,Unclassified,Unclassified
HB1157,Unclassified,Unclassified
HB1160,Unclassified,Unclassified
HB1161,Unclassified,Unclassified
HB1163,Unclassified,Unclassified
HB1166,Unclassified,Unclassified
HB1168,Unclassified,Unclassified
HB1173,Unclassified,Unclassified
HB1176,Unclassified,Unclassified
HB1177,Unclassified,Unclassified
HB1178,Unclassified,Unclassified
HB1181,Unclassified,Unclassified
HB1188,Unclassified,Unclassified
HB1189,Unclassified,Unclassified
HB1190,Unclassified,Unclassified
HB1191,Unclassified,Unclassified
HB1192,Unclassified,Unclassified
HB1196,Unclassified,Unclassified
HB1197,Unclassified,Unclassified
HB1198,Unclassified,Unclassified
HB1201,Unclassified,Unclassified
HB1203,Unclassified,Unclassified
HB1212,Unclassified,Unclassified
HB1215,Unclassified,Unclassified
HB1217,Unclassified,Unclassified
HB1220,Unclassified,Unclassified
HB1221,Unclassified,Unclassified
HB1223,Unclassified,Unclassified
HB1227,Unclassified,Unclassified
HB1231,Unclassified,Unclassified
HB1232,Unclassified,Unclassified
HB1235,Unclassified,Unclassified
HB1236,Unclassified,Unclassified
HB1237,Unclassified,Unclassified
HB1241,Unclassified,Unclassified
HB1243,Unclassified,Unclassified
HB1247,Unclassified,Unclassified
HB1248,Unclassified,Unclassified
HB1249,Unclassified,Unclassified
HB1250,Unclassified,Unclassified
HB1251,Unclassified,Unclassified
HB1253,Unclassified,Unclassified
HB1254,Unclassified,Unclassified
HB1257,Unclassified,Unclassified
HB1260,Unclassified,Unclassified
HB1261,Unclassified,Unclassified
HB1262,Unclassified,Unclassified
HB1264,Unclassified,Unclassified
HB1265,Unclassified,Unclassified
HB1268,Unclassified,Unclassified
HB1269,Unclassified,Unclassified
HB1272,Unclassified,Unclassified
HB1277,Unclassified,Unclassified
HB1278,Unclassified,Unclassified
HB1287,Unclassified,Unclassified
HB1288,Unclassified,Unclassified
HB1291,Unclassified,Unclassified
HB1292,Unclassified,Unclassified
HB1293,Unclassified,Unclassified
HB1298,Unclassified,Unclassified
HB1299,Unclassified,Unclassified
HB1302,Unclassified,Unclassified
HB1305,Unclassified,Unclassified
HB1306,Unclassified,Unclassified
HB1309,Unclassified,Unclassified
HB1315,Unclassified,Unclassified
HB1317,Unclassified,Unclassified
