year,member_id,MBR_NAME,party,topic_name,classification,topic_vote_events,yes_votes,no_votes,directional_topic_votes,voting_tendency,yes_pct,no_pct
2026,H0322,Don Scott,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0334,Elizabeth B. Bennett-Parker,D,Administration of Government,Official LIS subject,3,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0297,Elizabeth R. Guzman,D,Administration of Government,Official LIS subject,4,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0405,Garrett McGuire,D,Administration of Government,Official LIS subject,3,3,0,3,INSUFFICIENT DATA,100.0,0.0
2026,H0403,Gretchen M. Bulova,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0351,Holly M. Seibold,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0344,Irene Shin,D,Administration of Government,Official LIS subject,7,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0385,JJ Singh,D,Administration of Government,Official LIS subject,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0349,Jackie H. Glass,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0173,Jeion A. Ward,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0386,Jessica L. Anderson,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0395,John Chilton McAuliff,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0382,Joshua E. Thomas,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0314,Joshua G. Cole,D,Administration of Government,Official LIS subject,6,5,0,5,INSUFFICIENT DATA,100.0,0.0
2026,H0370,Karen Keys-Gamarra,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0387,"Karen R. ""Kacey"" Carnegie",D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0294,Karrie K. Delaney,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0305,Kathy K.L. Tran,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0354,Katrina Callsen,D,Administration of Government,Official LIS subject,5,5,0,5,INSUFFICIENT DATA,100.0,0.0
2026,H0295,Kelly K. Convirs-Fowler,D,Administration of Government,Official LIS subject,8,7,0,7,INSUFFICIENT DATA,100.0,0.0
2026,H0399,Kimberly Pope Adams,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0406,Kirk McPike,D,Administration of Government,Official LIS subject,1,1,0,1,INSUFFICIENT DATA,100.0,0.0
2026,H0355,Laura Jane Cohen,D,Administration of Government,Official LIS subject,6,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0396,Leslie Chambers Mehta,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
2026,H0393,Lily V. Franklin,D,Administration of Government,Official LIS subject,4,4,0,4,INSUFFICIENT DATA,100.0,0.0
