Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB1,Labor and Employment,Official LIS subject,Labor and Employment | Wages,Labor and Employment,CIBillSubjects.csv,Labor and Employment | Wages,False,
HB2,Public Service Companies,Official LIS subject,Public Service Companies,,CIBillSubjects.csv,Public Service Companies,False,
HB2,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB2,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
HB3,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
HB3,Housing,Official LIS subject,Housing,,CIBillSubjects.csv,Housing,False,
HB3,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
HB3,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
HB4,Housing,Official LIS subject,Housing | Affordable Housing,Housing,CIBillSubjects.csv,Housing | Affordable Housing,False,
HB5,Labor and Employment,Official LIS subject,Labor and Employment | State Employees,Labor and Employment,CIBillSubjects.csv,Labor and Employment | State Employees,False,
HB5,Local Government and Officials,Official LIS subject,Local Government and Officials,,CIBillSubjects.csv,Local Government and Officials,False,
HB6,Health,Official LIS subject,Health,,CIBillSubjects.csv,Health,False,
HB6,Contraceptives,Official LIS subject,Contraceptives,,CIBillSubjects.csv,Contraceptives,False,
HJ1,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
HJ1,Administration of Government,Official LIS subject,Human Rights,Administration of Government,CIBillSubjects.csv,Human Rights,False,
HJ2,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
HJ2,Elections,Official LIS subject,Elections | Voters and Voting,Elections,CIBillSubjects.csv,Elections | Voters and Voting,False,
HJ3,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
HJ3,Domestic Relations,Official LIS subject,Marriage,Domestic Relations,CIBillSubjects.csv,Marriage,False,
HJ4,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
HJ4,General Assembly,Official LIS subject,General Assembly | Reapportionment,General Assembly,CIBillSubjects.csv,General Assembly | Reapportionment,False,
HJ4,Elections,Official LIS subject,Congressional Districts,Elections,CIBillSubjects.csv,Congressional Districts,False,
SB1,Labor and Employment,Official LIS subject,Labor and Employment | Wages,Labor and Employment,CIBillSubjects.csv,Labor and Employment | Wages,False,
SB2,Insurance,Official LIS subject,Insurance,,CIBillSubjects.csv,Insurance,False,
SB2,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SB2,Unemployment Compensation,Official LIS subject,Unemployment Compensation,,CIBillSubjects.csv,Unemployment Compensation,False,
SB3,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SB3,Child Care,Official LIS subject,Child Care,,CIBillSubjects.csv,Child Care,False,
SB3,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
SB4,Education,Official LIS subject,Education | Students,Education,CIBillSubjects.csv,Education | Students,False,
SB5,Administration of Government,Official LIS subject,Administration of Government,,CIBillSubjects.csv,Administration of Government,False,
SB5,Housing,Official LIS subject,Housing,,CIBillSubjects.csv,Housing,False,
SB5,"Study Commissions, Committees, and Reports",Official LIS subject,"Study Commissions, Committees, and Reports",,CIBillSubjects.csv,"Study Commissions, Committees, and Reports",False,
SB5,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
SB6,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SB6,Elections,Official LIS subject,Elections | Voters and Voting,Elections,CIBillSubjects.csv,Elections | Voters and Voting,False,
SB7,Income Tax,Official LIS subject,Income Tax,,CIBillSubjects.csv,Income Tax,False,
SB7,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB8,Armed Forces,Official LIS subject,Armed Forces,,CIBillSubjects.csv,Armed Forces,False,
SB8,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB8,Real Property,Official LIS subject,Real Property,,CIBillSubjects.csv,Real Property,False,
SB9,Health,Official LIS subject,Health,,CIBillSubjects.csv,Health,False,
SB9,Sales and Use Tax,Official LIS subject,Sales and Use Tax,,CIBillSubjects.csv,Sales and Use Tax,False,
SB9,Taxation,Official LIS subject,Taxation,,CIBillSubjects.csv,Taxation,False,
SB9,Retail Sales and Use Tax,Official LIS subject,Retail Sales and Use Tax,,CIBillSubjects.csv,Retail Sales and Use Tax,False,
SB10,Labor and Employment,Official LIS subject,Labor and Employment,,CIBillSubjects.csv,Labor and Employment,False,
SB10,Children,Official LIS subject,Children,,CIBillSubjects.csv,Children,False,
SB11,Conservation,Official LIS subject,Conservation,,CIBillSubjects.csv,Conservation,False,
SB11,"Food and Beverage Products, and Containers",Official LIS subject,"Food and Beverage Products, and Containers",,CIBillSubjects.csv,"Food and Beverage Products, and Containers",False,
SB12,Appropriations,Official LIS subject,Appropriations,,CIBillSubjects.csv,Appropriations,False,
SB12,Motor Vehicles,Official LIS subject,Motor Vehicles,,CIBillSubjects.csv,Motor Vehicles,False,
SB12,Civil Remedies and Procedure,Official LIS subject,Evidence,Civil Remedies and Procedure,CIBillSubjects.csv,Evidence,False,
SB12,Marijuana,Official LIS subject,Marijuana,,CIBillSubjects.csv,Marijuana,False,
SB12,Alcoholic Beverage and Cannabis Control,Official LIS subject,Alcoholic Beverage and Cannabis Control,,CIBillSubjects.csv,Alcoholic Beverage and Cannabis Control,False,
SB13,Motor Vehicles,Official LIS subject,Motor Vehicles | License Plates and Registration,Motor Vehicles,CIBillSubjects.csv,Motor Vehicles | License Plates and Registration,False,
SB14,Arts and Humanities,Official LIS subject,Arts and Humanities,,CIBillSubjects.csv,Arts and Humanities,False,
SB14,Alcoholic Beverage and Cannabis Control,Official LIS subject,Alcoholic Beverage and Cannabis Control,,CIBillSubjects.csv,Alcoholic Beverage and Cannabis Control,False,
SB15,Motor Vehicles,Official LIS subject,Motor Vehicles | Motorcycles,Motor Vehicles,CIBillSubjects.csv,Motor Vehicles | Motorcycles,False,
SB16,Education,Official LIS subject,Education,,CIBillSubjects.csv,Education,False,
SB16,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
SB17,Motor Vehicles,Official LIS subject,Motor Vehicles,,CIBillSubjects.csv,Motor Vehicles,False,
SB18,Courts Not of Record,Official LIS subject,Courts Not of Record,,CIBillSubjects.csv,Courts Not of Record,False,
SB18,Children,Official LIS subject,Children,,CIBillSubjects.csv,Children,False,
SB19,Education,Official LIS subject,Education,,CIBillSubjects.csv,Education,False,
SB20,Education,Official LIS subject,Education,,CIBillSubjects.csv,Education,False,
SB20,Child Care,Official LIS subject,Child Care,,CIBillSubjects.csv,Child Care,False,
SB21,Juvenile Justice,Official LIS subject,Juvenile Justice,,CIBillSubjects.csv,Juvenile Justice,False,
SB21,Administration of Government,Official LIS subject,"Health and Human Resources, Secretary of | Public Safety and Homeland Security, Secretary of",Administration of Government,CIBillSubjects.csv,"Health and Human Resources, Secretary of | Public Safety and Homeland Security, Secretary of",False,
SB21,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
SB22,"Commissions, Boards, and Institutions Generally",Official LIS subject,"Commissions, Boards, and Institutions Generally",,CIBillSubjects.csv,"Commissions, Boards, and Institutions Generally",False,
SB22,Educational Institutions,Official LIS subject,Continuing Education,Educational Institutions,CIBillSubjects.csv,Continuing Education,False,
SB22,Professions and Occupations,Official LIS subject,Professional and Occupational Regulation,Professions and Occupations,CIBillSubjects.csv,Professional and Occupational Regulation,False,
SB23,Criminal Procedure,Official LIS subject,Criminal Procedure,,CIBillSubjects.csv,Criminal Procedure,False,
SB24,Criminal Procedure,Official LIS subject,Criminal Procedure,,CIBillSubjects.csv,Criminal Procedure,False,
SB24,Electronic Processes,Official LIS subject,Electronic Processes,,CIBillSubjects.csv,Electronic Processes,False,
SB24,Civil Remedies and Procedure,Official LIS subject,Evidence,Civil Remedies and Procedure,CIBillSubjects.csv,Evidence,False,
SB25,Labor and Employment,Official LIS subject,Workforce,Labor and Employment,CIBillSubjects.csv,Workforce,False,
SB25,Uncodified Legislation,Official LIS subject,Uncodified Legislation,,CIBillSubjects.csv,Uncodified Legislation,False,
SB25,Wind Energy,Official LIS subject,Wind Energy,,CIBillSubjects.csv,Wind Energy,False,
SB26,"Counties, Cities, and Towns",Official LIS subject,"Counties, Cities, and Towns",,CIBillSubjects.csv,"Counties, Cities, and Towns",False,
SB26,Land Development and Use,Official LIS subject,Land Development and Use,,CIBillSubjects.csv,Land Development and Use,False,
SB26,Solar Energy,Official LIS subject,Solar Energy,,CIBillSubjects.csv,Solar Energy,False,
SB27,Trade and Commerce,Official LIS subject,Trade and Commerce,,CIBillSubjects.csv,Trade and Commerce,False,
SB27,Firearms,Official LIS subject,Firearms,,CIBillSubjects.csv,Firearms,False,
SB28,Labor and Employment,Official LIS subject,Labor and Employment,,CIBillSubjects.csv,Labor and Employment,False,
SB31,Public Service Companies,Official LIS subject,Public Service Companies,,CIBillSubjects.csv,Public Service Companies,False,
SB31,Railroads,Official LIS subject,Railroads,,CIBillSubjects.csv,Railroads,False,
SB32,Labor and Employment,Official LIS subject,Labor and Employment,,CIBillSubjects.csv,Labor and Employment,False,
SJ1,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SJ1,Administration of Government,Official LIS subject,Human Rights,Administration of Government,CIBillSubjects.csv,Human Rights,False,
SJ2,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
SJ2,Elections,Official LIS subject,Elections | Voters and Voting,Elections,CIBillSubjects.csv,Elections | Voters and Voting,False,
SJ3,Constitutional Amendments,Official LIS subject,Constitutional Amendments,,CIBillSubjects.csv,Constitutional Amendments,False,
