member_id,MBR_NAME,party,topic_name,topic_vote_events,eligible_topic_events,party_break_events,cross_party_events,cross_party_pct
H0315,Carrie E. Coyner,R,Education,543,477,64,63,13.20754716981132
H0359,N. Baxter Ennis,R,Education,392,372,58,51,13.709677419354838
H0363,W. Chad Green,R,Education,465,449,43,39,8.68596881959911
H0315,Carrie E. Coyner,R,Criminal Justice,222,194,37,36,18.556701030927837
H0337,A.C. Cordoza,R,Criminal Justice,379,374,37,36,9.62566844919786
H0247,Michael J. Webert,R,Energy and Utilities,192,175,38,35,20.0
H0346,Kim A. Taylor,R,Education,251,222,35,35,15.765765765765765
H0348,Wren M. Williams,R,Criminal Justice,344,340,44,35,10.294117647058822
H0337,A.C. Cordoza,R,Education,234,229,33,32,13.973799126637553
H0345,Anne Ferrell Tata,R,Education,404,391,33,31,7.928388746803069
H0267,"Robert S. Bloxom, Jr.",R,Energy and Utilities,118,116,33,30,25.862068965517242
H0056,Terry G. Kilgore,R,Energy and Utilities,146,141,33,30,21.27659574468085
H0359,N. Baxter Ennis,R,Energy and Utilities,96,91,29,28,30.76923076923077
H0373,Ian T. Lovejoy,R,Energy and Utilities,101,100,28,28,28.000000000000004
H0359,N. Baxter Ennis,R,Criminal Justice,236,232,28,26,11.206896551724139
H0379,David Owen,R,Education,256,254,27,26,10.236220472440944
H0267,"Robert S. Bloxom, Jr.",R,Education,261,259,26,26,10.038610038610038
H0267,"Robert S. Bloxom, Jr.",R,Elections and Voting,148,146,25,24,16.43835616438356
H0267,"Robert S. Bloxom, Jr.",R,Local Government,206,204,27,24,11.76470588235294
H0315,Carrie E. Coyner,R,Energy and Utilities,111,93,23,23,24.731182795698924
H0308,Joseph P. McNamara,R,Energy and Utilities,152,146,32,23,15.753424657534246
H0337,A.C. Cordoza,R,Energy and Utilities,96,96,23,22,22.916666666666664
H0367,Geary Higgins,R,Energy and Utilities,101,100,22,22,22.0
H0359,N. Baxter Ennis,R,Local Government,141,138,22,22,15.942028985507244
H0315,Carrie E. Coyner,R,Local Government,197,170,25,22,12.941176470588237
H0348,Wren M. Williams,R,Energy and Utilities,189,177,32,22,12.429378531073446
H0373,Ian T. Lovejoy,R,Education,215,213,22,22,10.328638497652582
H0378,Chris Obenshain,R,Education,226,224,25,22,9.821428571428571
H0373,Ian T. Lovejoy,R,Local Government,200,198,21,21,10.606060606060606
H0224,James W. Morefield,R,Local Government,239,236,23,20,8.47457627118644
H0224,James W. Morefield,R,Education,256,247,20,20,8.097165991902834
H0224,James W. Morefield,R,Unclassified,199,191,23,19,9.947643979057592
H0358,"Mark L. Earley, Jr.",R,Criminal Justice,266,262,19,19,7.251908396946565
H0335,Mike A. Cherry,R,Education,501,482,41,19,3.941908713692946
H0315,Carrie E. Coyner,R,Firearms,73,67,18,18,26.865671641791046
H0358,"Mark L. Earley, Jr.",R,Energy and Utilities,96,96,19,18,18.75
H0253,Terry L. Austin,R,Energy and Utilities,110,110,21,18,16.363636363636363
H0267,"Robert S. Bloxom, Jr.",R,Criminal Justice,220,218,19,18,8.256880733944955
H0073,"Robert D. Orrock, Sr.",R,Education,263,245,21,18,7.346938775510205
H0347,"H. Otto Wachsmann, Jr.",R,Education,250,249,22,18,7.228915662650602
H0315,Carrie E. Coyner,R,Housing,100,85,18,17,20.0
H0124,R. Lee Ware,R,Energy and Utilities,101,98,23,17,17.346938775510203
H0224,James W. Morefield,R,Energy and Utilities,119,115,19,17,14.782608695652174
H0337,A.C. Cordoza,R,Behavioral Health,76,75,16,16,21.333333333333336
H0359,N. Baxter Ennis,R,Transportation,117,114,17,16,14.035087719298245
H0337,A.C. Cordoza,R,Local Government,155,155,19,16,10.32258064516129
H0056,Terry G. Kilgore,R,Local Government,165,161,18,16,9.937888198757763
H0348,Wren M. Williams,R,Local Government,170,165,25,16,9.696969696969697
H0073,"Robert D. Orrock, Sr.",R,Criminal Justice,194,185,17,16,8.64864864864865
H0359,N. Baxter Ennis,R,Labor and Employment,194,188,18,16,8.51063829787234
H0346,Kim A. Taylor,R,Criminal Justice,235,199,17,16,8.040201005025125
H0238,M. Keith Hodges,R,Criminal Justice,221,221,19,16,7.239819004524888
H0359,N. Baxter Ennis,R,Health and Healthcare,234,229,19,16,6.986899563318777
H0315,Carrie E. Coyner,R,Labor and Employment,263,232,17,16,6.896551724137931
H0315,Carrie E. Coyner,R,Elections and Voting,82,71,16,15,21.12676056338028
H0378,Chris Obenshain,R,Energy and Utilities,96,96,19,15,15.625
H0315,Carrie E. Coyner,R,Higher Education,114,107,15,15,14.018691588785046
H0231,Tony O. Wilt,R,Energy and Utilities,145,139,21,15,10.79136690647482
H0373,Ian T. Lovejoy,R,Unclassified,152,151,16,15,9.933774834437086
H0359,N. Baxter Ennis,R,Unclassified,156,153,17,15,9.803921568627452
H0315,Carrie E. Coyner,R,Unclassified,214,176,18,15,8.522727272727272
H0350,Ellen H. Campbell,R,Criminal Justice,214,204,18,15,7.352941176470589
H0358,"Mark L. Earley, Jr.",R,Education,222,217,18,15,6.912442396313365
H0384,Eric Phillips,R,Education,219,217,21,15,6.912442396313365
H0253,Terry L. Austin,R,Criminal Justice,225,225,21,15,6.666666666666667
H0350,Ellen H. Campbell,R,Education,293,285,19,15,5.263157894736842
H0359,N. Baxter Ennis,R,"Study Commissions, Committees, and Reports",80,78,18,14,17.94871794871795
H0363,W. Chad Green,R,Energy and Utilities,96,96,16,14,14.583333333333334
H0267,"Robert S. Bloxom, Jr.",R,Unclassified,193,191,16,14,7.329842931937172
H0367,Geary Higgins,R,Local Government,197,195,20,14,7.179487179487179
H0253,Terry L. Austin,R,Local Government,197,196,15,14,7.142857142857142
H0224,James W. Morefield,R,Criminal Justice,220,219,18,14,6.392694063926941
H0056,Terry G. Kilgore,R,Education,234,226,20,14,6.1946902654867255
H0348,Wren M. Williams,R,Education,234,229,35,14,6.11353711790393
