year,member_id,MBR_NAME,party,topic_name,topic_vote_events,directional_topic_votes,yes_votes,no_votes,topic_provenance,yes_pct,no_pct,voting_tendency
2026,H0392,Mark C. Downey,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0172,Mark D. Sickles,D,Administration of Government,1,1,1,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0374,Marty Martinez,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0397,May Nivar,D,Administration of Government,7,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0360,Michael B. Feggans,D,Administration of Government,7,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0340,Michelle Lopes Maldonado,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0336,Nadarius E. Clark,D,Administration of Government,7,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0389,Nicole Cole,D,Administration of Government,5,5,5,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0219,Patrick A. Hope,D,Administration of Government,4,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0281,Paul E. Krizek,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0366,Phil M. Hernandez,D,Administration of Government,4,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0356,Rae Cousins,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0269,"Richard C. ""Rip"" Sullivan, Jr.",D,Administration of Government,7,7,7,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0327,Rodney T. Willett,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0365,"Rozia A. Henson, Jr.",D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0266,Sam Rasoul,D,Administration of Government,4,3,3,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0323,Shelly A. Simonds,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0388,Stacey Annie Carroll,D,Administration of Government,6,6,6,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0400,Virgil Thornton,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0108,Vivian E. Watts,D,Administration of Government,4,4,4,0,Official LIS subject,100.0,0.0,INSUFFICIENT DATA
2026,H0056,Terry G. Kilgore,R,Administration of Government,7,7,5,2,Official LIS subject,71.42857142857143,28.57142857142857,INSUFFICIENT DATA
2026,H0329,Bill Wiley,R,Administration of Government,4,4,2,2,Official LIS subject,50.0,50.0,INSUFFICIENT DATA
2026,H0224,James W. Morefield,R,Administration of Government,4,4,2,2,Official LIS subject,50.0,50.0,INSUFFICIENT DATA
2026,H0333,Jason S. Ballard,R,Administration of Government,6,6,3,3,Official LIS subject,50.0,50.0,INSUFFICIENT DATA
2026,H0124,R. Lee Ware,R,Administration of Government,4,4,2,2,Official LIS subject,50.0,50.0,INSUFFICIENT DATA
2026,H0357,Will Davis,R,Administration of Government,4,4,2,2,Official LIS subject,50.0,50.0,INSUFFICIENT DATA
2026,H0348,Wren M. Williams,R,Administration of Government,7,5,2,3,Official LIS subject,40.0,60.0,INSUFFICIENT DATA
2026,H0384,Eric Phillips,R,Administration of Government,6,6,2,4,Official LIS subject,33.33333333333333,66.66666666666666,INSUFFICIENT DATA
2026,H0347,"H. Otto Wachsmann, Jr.",R,Administration of Government,6,6,2,4,Official LIS subject,33.33333333333333,66.66666666666666,INSUFFICIENT DATA
2026,H0267,"Robert S. Bloxom, Jr.",R,Administration of Government,6,6,2,4,Official LIS subject,33.33333333333333,66.66666666666666,INSUFFICIENT DATA
2026,H0253,Terry L. Austin,R,Administration of Government,4,3,1,2,Official LIS subject,33.33333333333333,66.66666666666666,INSUFFICIENT DATA
2026,H0350,Ellen H. McLaughlin,R,Administration of Government,4,4,1,3,Official LIS subject,25.0,75.0,INSUFFICIENT DATA
2026,H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Administration of Government,4,4,1,3,Official LIS subject,25.0,75.0,INSUFFICIENT DATA
2026,H0242,Israel D. O'Quinn,R,Administration of Government,8,8,2,6,Official LIS subject,25.0,75.0,INSUFFICIENT DATA
2026,H0238,M. Keith Hodges,R,Administration of Government,4,4,1,3,Official LIS subject,25.0,75.0,INSUFFICIENT DATA
2026,H0401,Madison Whittle,R,Administration of Government,4,4,1,3,Official LIS subject,25.0,75.0,INSUFFICIENT DATA
2026,H0335,Mike A. Cherry,R,Administration of Government,6,6,1,5,Official LIS subject,16.666666666666664,83.33333333333334,INSUFFICIENT DATA
2026,H0345,Anne Ferrell Tata,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0206,Barry D. Knight,R,Administration of Government,3,0,0,0,Official LIS subject,0.0,0.0,INSUFFICIENT DATA
2026,H0321,Chris S. Runion,R,Administration of Government,6,6,0,6,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0377,Delores Oates,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0383,Eric R. Zehr,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0369,Hillary Pugh Kent,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0262,"James A. ""Jay"" Leftwich",R,Administration of Government,6,6,0,6,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0308,Joseph P. McNamara,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0398,Justin Pence,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0394,Karen Hamilton,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0247,Michael J. Webert,R,Administration of Government,6,6,0,6,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0390,Mitchell Cornett,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0342,Phillip A. Scott,R,Administration of Government,6,6,0,6,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0328,Scott A. Wyatt,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0362,"Thomas A. Garrett, Jr.",R,Administration of Government,4,3,0,3,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0136,"Thomas C. Wright, Jr.",R,Administration of Government,4,3,0,3,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
2026,H0364,Timothy P. Griffin,R,Administration of Government,4,4,0,4,Official LIS subject,0.0,100.0,INSUFFICIENT DATA
