Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB1942,Unclassified,Unclassified,,,BILLS.CSV,"Financial institutions; regulation of money transmitters, penalty, effective date.",False,
HB1996,Unclassified,Unclassified,,,BILLS.CSV,Planning and zoning; second public hearing notice.,False,
HB2001,Unclassified,Unclassified,,,BILLS.CSV,"Eastern Daylight Time; Commonwealth shall observe year-round upon enactment by Congress, etc.",False,
HB2005,Unclassified,Unclassified,,,BILLS.CSV,"Roanoke, City of; amending charter, appointment of director of real estate valuation.",False,
HB2019,Unclassified,Unclassified,,,BILLS.CSV,"Shenandoah, Town of; new charter (previous charter repealed).",False,
HB2021,Unclassified,Unclassified,,,BILLS.CSV,"Fair Voice Purchasing Act; established, penalties.",False,
HB2022,Unclassified,Unclassified,,,BILLS.CSV,Registration of aircraft; fees.,False,
HB2031,Unclassified,Unclassified,,,BILLS.CSV,"Sewage disposal; alternative onsite sewage systems, elimination of report filing fee.",False,
HB2043,Unclassified,Unclassified,,,BILLS.CSV,"Consumer Data Protection Act; user-generated content protected, civil penalty.",False,
HB2058,Unclassified,Unclassified,,,BILLS.CSV,Alcoholic beverage control; delivery of mixed beverages.,False,
HB2081,Unclassified,Unclassified,,,BILLS.CSV,Virginia Human Rights Act; unlawful discrimination.,False,
HB2109,Unclassified,Unclassified,,,BILLS.CSV,"Maternal Health Data and Quality Measures, Task Force on; State Health Commissioner to reestablish.",False,
HB2110,Unclassified,Unclassified,,,BILLS.CSV,"Resale Disclosure Act; resale certificate, prohibition on requiring purchaser's name.",False,
HB2115,Unclassified,Unclassified,,,BILLS.CSV,"Summonses of a juvenile; custody, visitation, and support proceedings.",False,
HB2119,Unclassified,Unclassified,,,BILLS.CSV,Certificate of public need; task force to develop recommendation for expedited application & review.,False,
HB2120,Unclassified,Unclassified,,,BILLS.CSV,"Vulnerable adults; seizure of property used in connection with financial exploitation, etc.",False,
HB2123,Unclassified,Unclassified,,,BILLS.CSV,"Protective orders; maximum time valid, exception.",False,
HB2134,Unclassified,Unclassified,,,BILLS.CSV,"American Indians, Va. recognized tribes, and federally recognized tribes; definitions, sovereignty.",False,
HB2135,Unclassified,Unclassified,,,BILLS.CSV,Unemployment compensation; allowance for dependents.,False,
HB2152,Unclassified,Unclassified,,,BILLS.CSV,Virginia Freedom of Information Act; public body's FOIA officer training.,False,
HB2162,Unclassified,Unclassified,,,BILLS.CSV,Substitute judge of a district court; per diem compensation.,False,
HB2163,Unclassified,Unclassified,,,BILLS.CSV,"Enterprise zone grant program; real property investment grants, report.",False,
HB2166,Unclassified,Unclassified,,,BILLS.CSV,Horse racing and pari-mutuel wagering; amends definition of breakage.,False,
HB2193,Unclassified,Unclassified,,,BILLS.CSV,Virginia National Guard; deployment to active duty combat.,False,
HB2203,Unclassified,Unclassified,,,BILLS.CSV,"Housing and Community Development, Dept. of; consolidation of varying due dates for certain reports.",False,
HB2210,Unclassified,Unclassified,,,BILLS.CSV,"Real Estate Board; membership, qualifications.",False,
HB2217,Unclassified,Unclassified,,,BILLS.CSV,Person not free on bail; court appearance.,False,
HB2223,Unclassified,Unclassified,,,BILLS.CSV,Legal representation of indigent defendant; abolition of fees.,False,
HB2227,Unclassified,Unclassified,,,BILLS.CSV,Human trafficking; issuance of writ of vacatur for victims.,False,
HB2232,Unclassified,Unclassified,,,BILLS.CSV,Tri-Cities Improvement Commission; established.,False,
HB2243,Unclassified,Unclassified,,,BILLS.CSV,Uniform Trust Code; expands certain specific powers of trustee.,False,
HB2246,Unclassified,Unclassified,,,BILLS.CSV,Funerals; disagreements among next of kin.,False,
HB2249,Unclassified,Unclassified,,,BILLS.CSV,Judges; increases maximum number in general district court in Ninth Judicial District.,False,
HB2251,Unclassified,Unclassified,,,BILLS.CSV,International licensure and certification; regulations.,False,
HB2261,Unclassified,Unclassified,,,BILLS.CSV,"Trailer franchise requirements; applicability to certain trailers, definitions.",False,
HB2283,Unclassified,Unclassified,,,BILLS.CSV,"Hopewell, City of; amending charter, duties of treasurer.",False,
HB2292,Unclassified,Unclassified,,,BILLS.CSV,Common interest communities; termination of certain management contracts.,False,
HB2304,Unclassified,Unclassified,,,BILLS.CSV,Parents who provide home instruction; options for providing evidence of progress.,False,
HB2308,Unclassified,Unclassified,,,BILLS.CSV,"Nitrous oxide; inhaling drugs or other noxious chemical substances or causing others to do so, etc.",False,
