member_id,MBR_NAME_2025,party_2025,topic_name,topic_vote_events_2025,directional_topic_votes_2025,yes_votes_2025,no_votes_2025,yes_pct_2025,no_pct_2025,voting_tendency_2025,topic_provenance_2025,MBR_NAME_2026,party_2026,topic_vote_events_2026,directional_topic_votes_2026,yes_votes_2026,no_votes_2026,yes_pct_2026,no_pct_2026,voting_tendency_2026,topic_provenance_2026,topic_status,comparable_tendency,voting_tendency_changed,data_availability_changed,yes_pct_change,directional_topic_vote_change,MBR_NAME,party
H0247,Michael J. Webert,R,Economic Development,19.0,19.0,8.0,11.0,42.10526315789473,57.89473684210527,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Michael J. Webert,R,15.0,14.0,10.0,4.0,71.42857142857143,28.57142857142857,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,29.323308270676698,-5.0,Michael J. Webert,R
H0247,Michael J. Webert,R,Behavioral Health,72.0,70.0,35.0,35.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Michael J. Webert,R,64.0,61.0,48.0,13.0,78.68852459016394,21.311475409836063,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,28.688524590163937,-9.0,Michael J. Webert,R
H0253,Terry L. Austin,R,Technology and Data,26.0,26.0,13.0,13.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Terry L. Austin,R,32.0,32.0,25.0,7.0,78.125,21.875,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,28.125,6.0,Terry L. Austin,R
H0253,Terry L. Austin,R,Marriage and Domestic Relations,34.0,33.0,15.0,18.0,45.45454545454545,54.54545454545454,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Terry L. Austin,R,15.0,15.0,11.0,4.0,73.33333333333333,26.666666666666668,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,27.878787878787875,-18.0,Terry L. Austin,R
H0308,Joseph P. McNamara,R,Behavioral Health,63.0,63.0,31.0,32.0,49.2063492063492,50.79365079365079,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Joseph P. McNamara,R,48.0,43.0,33.0,10.0,76.74418604651163,23.25581395348837,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,27.537836840162427,-20.0,Joseph P. McNamara,R
H0056,Terry G. Kilgore,R,Data Centers,10.0,10.0,1.0,9.0,10.0,90.0,NO,Derived from LIS bill summary | Derived from LIS bill description,Terry G. Kilgore,R,20.0,19.0,7.0,12.0,36.84210526315789,63.1578947368421,MIXED,Derived from LIS bill description,Present both years,True,True,False,26.84210526315789,9.0,Terry G. Kilgore,R
H0056,Terry G. Kilgore,R,Technology and Data,32.0,32.0,20.0,12.0,62.5,37.5,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Terry G. Kilgore,R,29.0,27.0,24.0,3.0,88.88888888888889,11.11111111111111,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,26.388888888888886,-5.0,Terry G. Kilgore,R
H0345,Anne Ferrell Tata,R,Technology and Data,26.0,26.0,14.0,12.0,53.84615384615385,46.15384615384615,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Anne Ferrell Tata,R,25.0,25.0,20.0,5.0,80.0,20.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,26.153846153846153,-1.0,Anne Ferrell Tata,R
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Data Centers,10.0,10.0,1.0,9.0,10.0,90.0,NO,Derived from LIS bill summary | Derived from LIS bill description,"Hyland F. ""Buddy"" Fowler, Jr.",R,18.0,17.0,6.0,11.0,35.294117647058826,64.70588235294117,MIXED,Derived from LIS bill description,Present both years,True,True,False,25.294117647058826,7.0,"Hyland F. ""Buddy"" Fowler, Jr.",R
H0325,Wendell S. Walker,R,Agriculture and Food,37.0,37.0,18.0,19.0,48.64864864864865,51.35135135135135,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Wendell S. Walker,R,26.0,26.0,19.0,7.0,73.07692307692307,26.923076923076923,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,24.428274428274413,-11.0,Wendell S. Walker,R
H0242,Israel D. O'Quinn,R,Business and Commerce,74.0,71.0,32.0,39.0,45.07042253521127,54.929577464788736,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Israel D. O'Quinn,R,83.0,83.0,57.0,26.0,68.67469879518072,31.32530120481928,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,23.604276259969446,12.0,Israel D. O'Quinn,R
H0362,"Thomas A. Garrett, Jr.",R,Alcoholic Beverage and Cannabis Control,11.0,10.0,6.0,4.0,60.0,40.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,"Thomas A. Garrett, Jr.",R,15.0,12.0,10.0,2.0,83.33333333333334,16.666666666666664,YES,Official LIS subject | Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,23.333333333333343,2.0,"Thomas A. Garrett, Jr.",R
H0224,James W. Morefield,R,Marriage and Domestic Relations,32.0,32.0,16.0,16.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,James W. Morefield,R,15.0,15.0,11.0,4.0,73.33333333333333,26.666666666666668,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,23.33333333333333,-17.0,James W. Morefield,R
H0242,Israel D. O'Quinn,R,Technology and Data,27.0,27.0,14.0,13.0,51.85185185185185,48.148148148148145,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Israel D. O'Quinn,R,24.0,24.0,18.0,6.0,75.0,25.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,23.148148148148152,-3.0,Israel D. O'Quinn,R
H0348,Wren M. Williams,R,Agriculture and Food,40.0,40.0,18.0,22.0,45.0,55.00000000000001,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Wren M. Williams,R,28.0,25.0,17.0,8.0,68.0,32.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,23.0,-15.0,Wren M. Williams,R
H0377,Delores Oates,R,Behavioral Health,67.0,67.0,32.0,35.0,47.76119402985074,52.23880597014925,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Delores Oates,R,58.0,58.0,41.0,17.0,70.6896551724138,29.310344827586203,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,22.92846114256305,-9.0,Delores Oates,R
H0056,Terry G. Kilgore,R,Business and Commerce,75.0,74.0,37.0,37.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Terry G. Kilgore,R,88.0,87.0,63.0,24.0,72.41379310344827,27.586206896551722,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,22.41379310344827,13.0,Terry G. Kilgore,R
H0383,Eric R. Zehr,R,Alcoholic Beverage and Cannabis Control,11.0,11.0,6.0,5.0,54.54545454545454,45.45454545454545,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Eric R. Zehr,R,13.0,13.0,10.0,3.0,76.92307692307693,23.076923076923077,YES,Official LIS subject | Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,22.377622377622394,2.0,Eric R. Zehr,R
H0321,Chris S. Runion,R,Data Centers,12.0,12.0,2.0,10.0,16.666666666666664,83.33333333333334,NO,Derived from LIS bill summary | Derived from LIS bill description,Chris S. Runion,R,18.0,18.0,7.0,11.0,38.88888888888889,61.111111111111114,MIXED,Derived from LIS bill description,Present both years,True,True,False,22.22222222222223,6.0,Chris S. Runion,R
H0124,R. Lee Ware,R,Marriage and Domestic Relations,32.0,31.0,15.0,16.0,48.38709677419355,51.61290322580645,MIXED,Derived from LIS bill summary | Derived from LIS bill description,R. Lee Ware,R,17.0,17.0,12.0,5.0,70.58823529411765,29.411764705882355,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,22.2011385199241,-14.0,R. Lee Ware,R
H0231,Tony O. Wilt,R,Technology and Data,25.0,25.0,13.0,12.0,52.0,48.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Tony O. Wilt,R,23.0,23.0,17.0,6.0,73.91304347826086,26.08695652173913,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,21.91304347826086,-2.0,Tony O. Wilt,R
H0345,Anne Ferrell Tata,R,Marriage and Domestic Relations,33.0,31.0,16.0,15.0,51.61290322580645,48.38709677419355,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Anne Ferrell Tata,R,15.0,15.0,11.0,4.0,73.33333333333333,26.666666666666668,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,21.72043010752688,-16.0,Anne Ferrell Tata,R
H0357,Will Davis,R,Behavioral Health,62.0,62.0,30.0,32.0,48.38709677419355,51.61290322580645,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Will Davis,R,56.0,56.0,39.0,17.0,69.64285714285714,30.357142857142854,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,21.255760368663587,-6.0,Will Davis,R
H0124,R. Lee Ware,R,Technology and Data,22.0,22.0,11.0,11.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,R. Lee Ware,R,24.0,24.0,17.0,7.0,70.83333333333334,29.166666666666668,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,20.833333333333343,2.0,R. Lee Ware,R
H0335,Mike A. Cherry,R,Professions and Occupations,15.0,15.0,8.0,7.0,53.333333333333336,46.666666666666664,MIXED,Derived from LIS bill summary,Mike A. Cherry,R,24.0,23.0,17.0,6.0,73.91304347826086,26.08695652173913,YES,Official LIS subject | Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,20.579710144927525,8.0,Mike A. Cherry,R
H0347,"H. Otto Wachsmann, Jr.",R,Technology and Data,35.0,35.0,17.0,18.0,48.57142857142857,51.42857142857142,MIXED,Derived from LIS bill summary | Derived from LIS bill description,"H. Otto Wachsmann, Jr.",R,32.0,32.0,22.0,10.0,68.75,31.25,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,20.17857142857143,-3.0,"H. Otto Wachsmann, Jr.",R
H0377,Delores Oates,R,Social Services,36.0,35.0,21.0,14.0,60.0,40.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Delores Oates,R,15.0,15.0,12.0,3.0,80.0,20.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,20.0,-20.0,Delores Oates,R
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Marriage and Domestic Relations,33.0,32.0,15.0,17.0,46.875,53.125,MIXED,Derived from LIS bill summary | Derived from LIS bill description,"Hyland F. ""Buddy"" Fowler, Jr.",R,19.0,18.0,12.0,6.0,66.66666666666666,33.33333333333333,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,19.791666666666657,-14.0,"Hyland F. ""Buddy"" Fowler, Jr.",R
H0384,Eric Phillips,R,Behavioral Health,66.0,65.0,36.0,29.0,55.38461538461539,44.61538461538462,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Eric Phillips,R,56.0,56.0,42.0,14.0,75.0,25.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,19.615384615384613,-9.0,Eric Phillips,R
H0238,M. Keith Hodges,R,Professions and Occupations,15.0,15.0,8.0,7.0,53.333333333333336,46.666666666666664,MIXED,Derived from LIS bill summary,M. Keith Hodges,R,22.0,22.0,16.0,6.0,72.72727272727273,27.27272727272727,YES,Official LIS subject | Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,19.393939393939398,7.0,M. Keith Hodges,R
H0124,R. Lee Ware,R,Behavioral Health,57.0,57.0,29.0,28.0,50.877192982456144,49.122807017543856,MIXED,Derived from LIS bill summary | Derived from LIS bill description,R. Lee Ware,R,47.0,47.0,33.0,14.0,70.2127659574468,29.78723404255319,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,19.33557297499066,-10.0,R. Lee Ware,R
H0231,Tony O. Wilt,R,Behavioral Health,75.0,75.0,36.0,39.0,48.0,52.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Tony O. Wilt,R,61.0,61.0,41.0,20.0,67.21311475409836,32.78688524590164,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,19.213114754098356,-14.0,Tony O. Wilt,R
H0333,Jason S. Ballard,R,Technology and Data,31.0,31.0,17.0,14.0,54.83870967741935,45.16129032258064,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Jason S. Ballard,R,23.0,23.0,17.0,6.0,73.91304347826086,26.08695652173913,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,19.074333800841508,-8.0,Jason S. Ballard,R
H0242,Israel D. O'Quinn,R,Behavioral Health,63.0,61.0,34.0,27.0,55.73770491803278,44.26229508196721,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Israel D. O'Quinn,R,56.0,55.0,41.0,14.0,74.54545454545455,25.454545454545453,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.807749627421764,-6.0,Israel D. O'Quinn,R
H0224,James W. Morefield,R,Behavioral Health,67.0,65.0,41.0,24.0,63.07692307692307,36.92307692307693,MIXED,Derived from LIS bill summary | Derived from LIS bill description,James W. Morefield,R,55.0,55.0,45.0,10.0,81.81818181818183,18.181818181818183,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.741258741258754,-10.0,James W. Morefield,R
H0369,Hillary Pugh Kent,R,Technology and Data,22.0,22.0,12.0,10.0,54.54545454545454,45.45454545454545,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Hillary Pugh Kent,R,26.0,26.0,19.0,7.0,73.07692307692307,26.923076923076923,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.531468531468526,4.0,Hillary Pugh Kent,R
H0328,Scott A. Wyatt,R,Behavioral Health,67.0,66.0,39.0,27.0,59.09090909090909,40.909090909090914,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Scott A. Wyatt,R,58.0,58.0,45.0,13.0,77.58620689655173,22.413793103448278,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.495297805642636,-8.0,Scott A. Wyatt,R
H0238,M. Keith Hodges,R,Marriage and Domestic Relations,34.0,34.0,18.0,16.0,52.94117647058824,47.05882352941176,MIXED,Derived from LIS bill summary | Derived from LIS bill description,M. Keith Hodges,R,15.0,14.0,10.0,4.0,71.42857142857143,28.57142857142857,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.48739495798319,-20.0,M. Keith Hodges,R
H0253,Terry L. Austin,R,Behavioral Health,73.0,73.0,45.0,28.0,61.64383561643836,38.35616438356164,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Terry L. Austin,R,57.0,55.0,44.0,11.0,80.0,20.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.35616438356164,-18.0,Terry L. Austin,R
H0348,Wren M. Williams,R,Marriage and Domestic Relations,46.0,46.0,28.0,18.0,60.86956521739131,39.130434782608695,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Wren M. Williams,R,25.0,24.0,19.0,5.0,79.16666666666666,20.833333333333336,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,18.297101449275345,-22.0,Wren M. Williams,R
H0321,Chris S. Runion,R,Behavioral Health,59.0,59.0,30.0,29.0,50.847457627118644,49.152542372881356,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Chris S. Runion,R,51.0,51.0,35.0,16.0,68.62745098039215,31.372549019607842,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,17.77999335327351,-8.0,Chris S. Runion,R
H0364,Timothy P. Griffin,R,Technology and Data,34.0,34.0,11.0,23.0,32.35294117647059,67.64705882352942,NO,Derived from LIS bill summary | Derived from LIS bill description,Timothy P. Griffin,R,30.0,28.0,14.0,14.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,17.647058823529413,-6.0,Timothy P. Griffin,R
H0321,Chris S. Runion,R,Courts and Civil Law,120.0,119.0,58.0,61.0,48.739495798319325,51.26050420168067,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Chris S. Runion,R,70.0,68.0,45.0,23.0,66.17647058823529,33.82352941176471,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,17.436974789915965,-51.0,Chris S. Runion,R
H0350,Ellen H. Campbell,R,Technology and Data,25.0,24.0,13.0,11.0,54.166666666666664,45.83333333333333,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Ellen H. McLaughlin,R,31.0,28.0,20.0,8.0,71.42857142857143,28.57142857142857,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,17.261904761904766,4.0,Ellen H. McLaughlin,R
H0247,Michael J. Webert,R,Health and Healthcare,152.0,151.0,83.0,68.0,54.966887417218544,45.033112582781456,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Michael J. Webert,R,101.0,97.0,70.0,27.0,72.16494845360825,27.835051546391753,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,17.198061036389703,-54.0,Michael J. Webert,R
H0328,Scott A. Wyatt,R,"Pensions, Benefits, and Retirement",19.0,18.0,10.0,8.0,55.55555555555556,44.44444444444444,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Scott A. Wyatt,R,11.0,11.0,8.0,3.0,72.72727272727273,27.27272727272727,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,17.171717171717177,-7.0,Scott A. Wyatt,R
H0333,Jason S. Ballard,R,Behavioral Health,64.0,64.0,35.0,29.0,54.6875,45.3125,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Jason S. Ballard,R,60.0,60.0,43.0,17.0,71.66666666666667,28.333333333333332,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,16.97916666666667,-4.0,Jason S. Ballard,R
H0262,"James A. ""Jay"" Leftwich",R,Health and Healthcare,135.0,133.0,72.0,61.0,54.13533834586466,45.86466165413533,MIXED,Derived from LIS bill summary | Derived from LIS bill description,"James A. ""Jay"" Leftwich",R,96.0,93.0,66.0,27.0,70.96774193548387,29.03225806451613,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,16.83240358961921,-40.0,"James A. ""Jay"" Leftwich",R
H0335,Mike A. Cherry,R,Agriculture and Food,48.0,48.0,24.0,24.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Mike A. Cherry,R,27.0,27.0,18.0,9.0,66.66666666666666,33.33333333333333,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,16.666666666666657,-21.0,Mike A. Cherry,R
H0231,Tony O. Wilt,R,Social Services,39.0,39.0,25.0,14.0,64.1025641025641,35.8974358974359,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Tony O. Wilt,R,15.0,15.0,12.0,3.0,80.0,20.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,15.897435897435898,-24.0,Tony O. Wilt,R
H0238,M. Keith Hodges,R,Agriculture and Food,49.0,49.0,25.0,24.0,51.02040816326531,48.97959183673469,MIXED,Derived from LIS bill summary | Derived from LIS bill description,M. Keith Hodges,R,33.0,33.0,22.0,11.0,66.66666666666666,33.33333333333333,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,15.646258503401349,-16.0,M. Keith Hodges,R
H0124,R. Lee Ware,R,Health and Healthcare,121.0,121.0,67.0,54.0,55.371900826446286,44.62809917355372,MIXED,Derived from LIS bill summary | Derived from LIS bill description,R. Lee Ware,R,86.0,86.0,61.0,25.0,70.93023255813954,29.069767441860467,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,15.55833173169325,-35.0,R. Lee Ware,R
H0136,"Thomas C. Wright, Jr.",R,Technology and Data,32.0,29.0,10.0,19.0,34.48275862068966,65.51724137931035,NO,Derived from LIS bill summary | Derived from LIS bill description,"Thomas C. Wright, Jr.",R,28.0,24.0,12.0,12.0,50.0,50.0,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,15.517241379310342,-5.0,"Thomas C. Wright, Jr.",R
H0267,"Robert S. Bloxom, Jr.",R,Behavioral Health,67.0,67.0,43.0,24.0,64.17910447761194,35.82089552238806,MIXED,Derived from LIS bill summary | Derived from LIS bill description,"Robert S. Bloxom, Jr.",R,55.0,54.0,43.0,11.0,79.62962962962963,20.37037037037037,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,15.45052515201769,-13.0,"Robert S. Bloxom, Jr.",R
H0329,Bill Wiley,R,Behavioral Health,67.0,67.0,40.0,27.0,59.70149253731343,40.298507462686565,MIXED,Derived from LIS bill summary | Derived from LIS bill description,Bill Wiley,R,56.0,56.0,42.0,14.0,75.0,25.0,YES,Derived from LIS bill summary | Derived from LIS bill description,Present both years,True,True,False,15.298507462686572,-11.0,Bill Wiley,R
