Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
HB72,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Real property tax; classification of land and improvements in City of Fredericksburg.,True,\bproperty tax\b
HB73,Marriage and Domestic Relations,Derived from LIS bill description,,,BILLS.CSV,Juvenile and domestic relations district courts; petitions for relief of care and custody.,True,\bdomestic relations\b
HB74,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,Electric utilities; recovery of development costs associated with small modular reactor.,True,\belectric utilit
HB75,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Medical marijuana; administration to terminally ill patients.,True,\bmedical\b
HB76,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Foster care; DSS to establish/maintain supply of new luggage to transport child's belongings.,True,\bfoster care\b
HB77,Transportation,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers, state and local; enforcement of federal traffic infractions.",True,\btraffic\b
HB77,Public Safety,Derived from LIS bill description,,,BILLS.CSV,"Law-enforcement officers, state and local; enforcement of federal traffic infractions.",True,\blaw-enforcement officers?\b
HB78,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Elections administration; duties of local electoral boards, certification of election, etc.",True,\belections?\b
HB79,Housing,Derived from LIS bill description,,,BILLS.CSV,"Virginia Residential Landlord and Tenant Act; duties of landlord, mold remediation, civil penalty.",True,\bresidential landlord\b
HB80,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Civilian deaths in custody; local and regional adult correctional facilities failure to report.,True,\bcorrectional\b
HB81,State Government,Derived from LIS bill description,,,BILLS.CSV,State agencies; amdnt. of regulations pertaining to maximum temp. at which certain rooms may be kept.,True,\bstate agencies?\b
HB82,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Elections; deadline for receipt of absentee ballots and certain other information, etc.",True,\belections?\b
HB84,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,Electric utilities and licensed suppliers of electricity; regional transmission entities.,True,\belectric utilit
HB87,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"State plan for med. assistance; patient-initiated consultation, provider-to-provider consultation.",True,\bpatients?\b
HB88,Transportation,Derived from LIS bill description,,,BILLS.CSV,Highway rights-of-way; invasive species.,True,\bhighways?\b
HB89,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,"Candidates for office; electronic filing of forms, petitions, etc., with Department of Elections.",True,\belections?\b
HB90,Insurance,Derived from LIS bill description,,,BILLS.CSV,Health insurance; coverage for scalp treatment during cancer chemotherapy treatment.,True,\bhealth insurance\b
HB91,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Minors; limiting room or cell confinement in a juvenile correctional facility, report.",True,\bcorrectional\b
HB91,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Minors; limiting room or cell confinement in a juvenile correctional facility, report.",True,\bminors?\b
HB92,Education,Derived from LIS bill description,,,BILLS.CSV,"Public schools; At-Risk Program established, Standards of Quality.",True,\bpublic schools?\b
