member_id,topic_name,classification,MBR_NAME_2025,party_2025,yes_votes_2025,no_votes_2025,directional_topic_votes_2025,yes_pct_2025,no_pct_2025,voting_tendency_2025,MBR_NAME_2026,party_2026,yes_votes_2026,no_votes_2026,directional_topic_votes_2026,yes_pct_2026,no_pct_2026,voting_tendency_2026,topic_status,MBR_NAME,party,yes_pct_change,comparable_tendency,voting_tendency_changed,data_availability_changed
H0335,Technology and Data,Derived from LIS bill description,Mike A. Cherry,R,5.0,5.0,10.0,50.0,50.0,MIXED,Mike A. Cherry,R,15.0,8.0,23.0,65.21739130434783,34.78260869565217,YES,Present both years,Mike A. Cherry,R,15.217391304347828,True,True,False
H0136,Technology and Data,Derived from LIS bill description,"Thomas C. Wright, Jr.",R,5.0,13.0,18.0,27.77777777777778,72.22222222222221,NO,"Thomas C. Wright, Jr.",R,9.0,12.0,21.0,42.857142857142854,57.14285714285714,MIXED,Present both years,"Thomas C. Wright, Jr.",R,15.079365079365076,True,True,False
H0308,Health and Healthcare,Derived from LIS bill description,Joseph P. McNamara,R,44.0,25.0,69.0,63.76811594202898,36.231884057971016,MIXED,Joseph P. McNamara,R,52.0,14.0,66.0,78.78787878787878,21.21212121212121,YES,Present both years,Joseph P. McNamara,R,15.019762845849804,True,True,False
H0348,Budget and Appropriations,Derived from LIS bill description,Wren M. Williams,R,15.0,55.0,70.0,21.428571428571427,78.57142857142857,NO,Wren M. Williams,R,4.0,7.0,11.0,36.36363636363637,63.63636363636363,MIXED,Present both years,Wren M. Williams,R,14.93506493506494,True,True,False
H0124,Behavioral Health,Derived from LIS bill description,R. Lee Ware,R,14.0,12.0,26.0,53.84615384615385,46.15384615384615,MIXED,R. Lee Ware,R,28.0,13.0,41.0,68.29268292682927,31.70731707317073,YES,Present both years,R. Lee Ware,R,14.446529080675425,True,True,False
H0259,Marriage and Domestic Relations,Derived from LIS bill description,"Hyland F. ""Buddy"" Fowler, Jr.",R,6.0,5.0,11.0,54.54545454545454,45.45454545454545,MIXED,"Hyland F. ""Buddy"" Fowler, Jr.",R,11.0,5.0,16.0,68.75,31.25,YES,Present both years,"Hyland F. ""Buddy"" Fowler, Jr.",R,14.20454545454546,True,True,False
H0321,Energy and Utilities,Derived from LIS bill description,Chris S. Runion,R,34.0,81.0,115.0,29.565217391304348,70.43478260869566,NO,Chris S. Runion,R,93.0,120.0,213.0,43.66197183098591,56.33802816901409,MIXED,Present both years,Chris S. Runion,R,14.096754439681565,True,True,False
H0384,Behavioral Health,Derived from LIS bill description,Eric Phillips,R,17.0,11.0,28.0,60.71428571428571,39.285714285714285,MIXED,Eric Phillips,R,37.0,13.0,50.0,74.0,26.0,YES,Present both years,Eric Phillips,R,13.285714285714292,True,True,False
H0056,Business and Commerce,Derived from LIS bill description,Terry G. Kilgore,R,22.0,13.0,35.0,62.857142857142854,37.142857142857146,MIXED,Terry G. Kilgore,R,54.0,17.0,71.0,76.05633802816901,23.943661971830984,YES,Present both years,Terry G. Kilgore,R,13.199195171026155,True,True,False
H0308,Local Government,Derived from LIS bill description,Joseph P. McNamara,R,11.0,21.0,32.0,34.375,65.625,NO,Joseph P. McNamara,R,26.0,29.0,55.0,47.27272727272727,52.72727272727272,MIXED,Present both years,Joseph P. McNamara,R,12.897727272727273,True,True,False
H0267,Business and Commerce,Derived from LIS bill description,"Robert S. Bloxom, Jr.",R,27.0,23.0,50.0,54.0,46.0,MIXED,"Robert S. Bloxom, Jr.",R,62.0,32.0,94.0,65.95744680851064,34.04255319148936,YES,Present both years,"Robert S. Bloxom, Jr.",R,11.957446808510639,True,True,False
H0253,Local Government,Derived from LIS bill description,Terry L. Austin,R,17.0,13.0,30.0,56.666666666666664,43.333333333333336,MIXED,Terry L. Austin,R,43.0,20.0,63.0,68.25396825396825,31.746031746031743,YES,Present both years,Terry L. Austin,R,11.587301587301589,True,True,False
H0224,Marriage and Domestic Relations,Derived from LIS bill description,James W. Morefield,R,6.0,4.0,10.0,60.0,40.0,MIXED,James W. Morefield,R,10.0,4.0,14.0,71.42857142857143,28.57142857142857,YES,Present both years,James W. Morefield,R,11.42857142857143,True,True,False
H0253,Marriage and Domestic Relations,Derived from LIS bill description,Terry L. Austin,R,6.0,4.0,10.0,60.0,40.0,MIXED,Terry L. Austin,R,10.0,4.0,14.0,71.42857142857143,28.57142857142857,YES,Present both years,Terry L. Austin,R,11.42857142857143,True,True,False
H0238,Energy and Utilities,Derived from LIS bill description,M. Keith Hodges,R,30.0,60.0,90.0,33.33333333333333,66.66666666666666,NO,M. Keith Hodges,R,75.0,93.0,168.0,44.642857142857146,55.35714285714286,MIXED,Present both years,M. Keith Hodges,R,11.309523809523817,True,True,False
H0242,Labor and Employment,Derived from LIS bill description,Israel D. O'Quinn,R,30.0,73.0,103.0,29.126213592233007,70.87378640776699,NO,Israel D. O'Quinn,R,59.0,90.0,149.0,39.59731543624161,60.40268456375839,MIXED,Present both years,Israel D. O'Quinn,R,10.4711018440086,True,True,False
H0224,Local Government,Derived from LIS bill description,James W. Morefield,R,25.0,15.0,40.0,62.5,37.5,MIXED,James W. Morefield,R,51.0,19.0,70.0,72.85714285714285,27.142857142857142,YES,Present both years,James W. Morefield,R,10.357142857142847,True,True,False
H0321,Behavioral Health,Derived from LIS bill description,Chris S. Runion,R,15.0,12.0,27.0,55.55555555555556,44.44444444444444,MIXED,Chris S. Runion,R,29.0,15.0,44.0,65.9090909090909,34.090909090909086,YES,Present both years,Chris S. Runion,R,10.35353535353535,True,True,False
H0321,Health and Healthcare,Derived from LIS bill description,Chris S. Runion,R,44.0,25.0,69.0,63.76811594202898,36.231884057971016,MIXED,Chris S. Runion,R,54.0,19.0,73.0,73.97260273972603,26.027397260273972,YES,Present both years,Chris S. Runion,R,10.20448679769705,True,True,False
H0242,Behavioral Health,Derived from LIS bill description,Israel D. O'Quinn,R,18.0,10.0,28.0,64.28571428571429,35.714285714285715,MIXED,Israel D. O'Quinn,R,35.0,12.0,47.0,74.46808510638297,25.53191489361702,YES,Present both years,Israel D. O'Quinn,R,10.18237082066868,True,True,False
H0362,Behavioral Health,Derived from LIS bill description,"Thomas A. Garrett, Jr.",R,17.0,14.0,31.0,54.83870967741935,45.16129032258064,MIXED,"Thomas A. Garrett, Jr.",R,26.0,14.0,40.0,65.0,35.0,YES,Present both years,"Thomas A. Garrett, Jr.",R,10.161290322580648,True,True,False
H0325,Insurance,Derived from LIS bill description,Wendell S. Walker,R,18.0,12.0,30.0,60.0,40.0,MIXED,Wendell S. Walker,R,28.0,12.0,40.0,70.0,30.0,YES,Present both years,Wendell S. Walker,R,10.0,True,True,False
H0357,Energy and Utilities,Derived from LIS bill description,Will Davis,R,25.0,52.0,77.0,32.467532467532465,67.53246753246754,NO,Will Davis,R,60.0,83.0,143.0,41.95804195804196,58.04195804195804,MIXED,Present both years,Will Davis,R,9.490509490509496,True,True,False
H0377,Health and Healthcare,Derived from LIS bill description,Delores Oates,R,37.0,22.0,59.0,62.71186440677966,37.28813559322034,MIXED,Delores Oates,R,49.0,19.0,68.0,72.05882352941177,27.941176470588236,YES,Present both years,Delores Oates,R,9.346959122632107,True,True,False
H0350,Education,Derived from LIS bill description,Ellen H. Campbell,R,94.0,71.0,165.0,56.96969696969697,43.03030303030303,MIXED,Ellen H. McLaughlin,R,127.0,65.0,192.0,66.14583333333334,33.85416666666667,YES,Present both years,Ellen H. McLaughlin,R,9.176136363636374,True,True,False
H0333,Business and Commerce,Derived from LIS bill description,Jason S. Ballard,R,22.0,13.0,35.0,62.857142857142854,37.142857142857146,MIXED,Jason S. Ballard,R,54.0,21.0,75.0,72.0,28.000000000000004,YES,Present both years,Jason S. Ballard,R,9.142857142857146,True,True,False
H0321,Labor and Employment,Derived from LIS bill description,Chris S. Runion,R,34.0,93.0,127.0,26.77165354330709,73.22834645669292,NO,Chris S. Runion,R,65.0,117.0,182.0,35.714285714285715,64.28571428571429,MIXED,Present both years,Chris S. Runion,R,8.942632170978627,True,True,False
H0124,Courts and Civil Law,Derived from LIS bill description,R. Lee Ware,R,8.0,15.0,23.0,34.78260869565217,65.21739130434783,NO,R. Lee Ware,R,13.0,17.0,30.0,43.333333333333336,56.666666666666664,MIXED,Present both years,R. Lee Ware,R,8.550724637681164,True,True,False
H0328,Energy and Utilities,Derived from LIS bill description,Scott A. Wyatt,R,27.0,58.0,85.0,31.76470588235294,68.23529411764706,NO,Scott A. Wyatt,R,67.0,100.0,167.0,40.119760479041915,59.88023952095808,MIXED,Present both years,Scott A. Wyatt,R,8.355054596688976,True,True,False
H0348,Business and Commerce,Derived from LIS bill description,Wren M. Williams,R,22.0,14.0,36.0,61.111111111111114,38.88888888888889,MIXED,Wren M. Williams,R,43.0,19.0,62.0,69.35483870967742,30.64516129032258,YES,Present both years,Wren M. Williams,R,8.24372759856631,True,True,False
H0357,Local Government,Derived from LIS bill description,Will Davis,R,7.0,13.0,20.0,35.0,65.0,NO,Will Davis,R,19.0,25.0,44.0,43.18181818181818,56.81818181818182,MIXED,Present both years,Will Davis,R,8.18181818181818,True,True,False
H0329,Insurance,Derived from LIS bill description,Bill Wiley,R,20.0,12.0,32.0,62.5,37.5,MIXED,Bill Wiley,R,35.0,15.0,50.0,70.0,30.0,YES,Present both years,Bill Wiley,R,7.5,True,True,False
H0242,Public Safety,Derived from LIS bill description,Israel D. O'Quinn,R,11.0,7.0,18.0,61.111111111111114,38.88888888888889,MIXED,Israel D. O'Quinn,R,28.0,14.0,42.0,66.66666666666666,33.33333333333333,YES,Present both years,Israel D. O'Quinn,R,5.555555555555543,True,True,False
H0350,Business and Commerce,Derived from LIS bill description,Ellen H. Campbell,R,25.0,15.0,40.0,62.5,37.5,MIXED,Ellen H. McLaughlin,R,48.0,23.0,71.0,67.6056338028169,32.3943661971831,YES,Present both years,Ellen H. McLaughlin,R,5.105633802816897,True,True,False
