member_id,MBR_NAME,party,Subject_Id,Subject_Name,subject_vote_events,eligible_subject_events,party_break_events,cross_party_events,cross_party_pct,party_break_pct
H0267,"Robert S. Bloxom, Jr.",R,871,Marriage,4,4,4,4,100.0,100.0
H0335,Mike A. Cherry,R,1141,Voters and Voting,7,6,4,4,66.66666666666666,57.14285714285714
H0335,Mike A. Cherry,R,156,Elections,7,6,4,4,66.66666666666666,57.14285714285714
H0267,"Robert S. Bloxom, Jr.",R,1282,Uncodified Legislation,8,8,4,4,50.0,50.0
H0267,"Robert S. Bloxom, Jr.",R,428,"Study Commissions, Committees, and Reports",12,12,4,4,33.33333333333333,33.33333333333333
H0335,Mike A. Cherry,R,117,Constitutional Amendments,17,16,4,4,25.0,23.52941176470588
H0267,"Robert S. Bloxom, Jr.",R,117,Constitutional Amendments,17,17,4,4,23.52941176470588,23.52941176470588
H0348,Wren M. Williams,R,125,Courts Not of Record,3,3,3,3,100.0,100.0
H0348,Wren M. Williams,R,597,Children,5,4,3,3,75.0,60.0
H0056,Terry G. Kilgore,R,4,Administration of Government,5,5,3,3,60.0,60.0
H0056,Terry G. Kilgore,R,231,Housing,6,6,3,3,50.0,50.0
H0224,James W. Morefield,R,1282,Uncodified Legislation,8,8,3,3,37.5,37.5
H0224,James W. Morefield,R,428,"Study Commissions, Committees, and Reports",12,12,3,3,25.0,25.0
H0056,Terry G. Kilgore,R,1282,Uncodified Legislation,13,13,3,3,23.076923076923077,23.076923076923077
H0056,Terry G. Kilgore,R,428,"Study Commissions, Committees, and Reports",16,16,3,3,18.75,18.75
H0124,R. Lee Ware,R,4,Administration of Government,2,2,2,2,100.0,100.0
H0224,James W. Morefield,R,4,Administration of Government,2,2,2,2,100.0,100.0
H0267,"Robert S. Bloxom, Jr.",R,361,Public Service Companies,2,2,2,2,100.0,100.0
H0267,"Robert S. Bloxom, Jr.",R,4,Administration of Government,2,2,2,2,100.0,100.0
H0308,Joseph P. McNamara,R,871,Marriage,2,2,2,2,100.0,100.0
H0329,Bill Wiley,R,4,Administration of Government,2,2,2,2,100.0,100.0
H0347,"H. Otto Wachsmann, Jr.",R,4,Administration of Government,2,2,2,2,100.0,100.0
H0357,Will Davis,R,4,Administration of Government,2,2,2,2,100.0,100.0
H0384,Eric Phillips,R,4,Administration of Government,2,2,2,2,100.0,100.0
H0395,John Chilton McAuliff,D,445,Trade and Commerce,2,2,2,2,100.0,100.0
H0395,John Chilton McAuliff,D,721,Firearms,2,2,2,2,100.0,100.0
H0124,R. Lee Ware,R,231,Housing,3,3,2,2,66.66666666666666,66.66666666666666
H0267,"Robert S. Bloxom, Jr.",R,218,Health,3,3,2,2,66.66666666666666,66.66666666666666
H0267,"Robert S. Bloxom, Jr.",R,642,Contraceptives,3,3,2,2,66.66666666666666,66.66666666666666
H0347,"H. Otto Wachsmann, Jr.",R,231,Housing,3,3,2,2,66.66666666666666,66.66666666666666
H0348,Wren M. Williams,R,361,Public Service Companies,4,3,2,2,66.66666666666666,50.0
H0357,Will Davis,R,231,Housing,3,3,2,2,66.66666666666666,66.66666666666666
H0384,Eric Phillips,R,231,Housing,3,3,2,2,66.66666666666666,66.66666666666666
H0224,James W. Morefield,R,231,Housing,4,4,2,2,50.0,50.0
H0333,Jason S. Ballard,R,4,Administration of Government,4,4,2,2,50.0,50.0
H0267,"Robert S. Bloxom, Jr.",R,231,Housing,5,5,2,2,40.0,40.0
H0329,Bill Wiley,R,231,Housing,5,5,2,2,40.0,40.0
H0333,Jason S. Ballard,R,231,Housing,5,5,2,2,40.0,40.0
H0124,R. Lee Ware,R,1282,Uncodified Legislation,6,6,3,2,33.33333333333333,50.0
H0347,"H. Otto Wachsmann, Jr.",R,1282,Uncodified Legislation,6,6,2,2,33.33333333333333,33.33333333333333
