member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0350,Ellen H. McLaughlin,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,95.0,156.0,92.0,146.0,54.0,0.0,8.0,8.0,0.0,5.47945205479452,5.47945205479452,0.0,9.0,9.0,Ellen H. Campbell,Ellen H. McLaughlin,R,R
H0383,Eric R. Zehr,R,Criminal Justice,Derived from LIS bill description,Present both years,True,True,71.0,101.0,71.0,97.0,26.0,0.0,5.0,5.0,0.0,5.154639175257731,5.154639175257731,4.0,13.0,9.0,Eric R. Zehr,Eric R. Zehr,R,R
H0247,Michael J. Webert,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,52.0,84.0,52.0,81.0,29.0,0.0,4.0,4.0,0.0,4.938271604938271,4.938271604938271,3.0,9.0,6.0,Michael J. Webert,Michael J. Webert,R,R
H0308,Joseph P. McNamara,R,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,101.0,93.0,99.0,85.0,-14.0,0.0,4.0,4.0,0.0,4.705882352941177,4.705882352941177,6.0,6.0,0.0,Joseph P. McNamara,Joseph P. McNamara,R,R
H0384,Eric Phillips,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,75.0,110.0,73.0,108.0,35.0,0.0,5.0,5.0,0.0,4.62962962962963,4.62962962962963,1.0,7.0,6.0,Eric Phillips,Eric Phillips,R,R
H0325,Wendell S. Walker,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,75.0,113.0,75.0,109.0,34.0,0.0,5.0,5.0,0.0,4.587155963302752,4.587155963302752,0.0,6.0,6.0,Wendell S. Walker,Wendell S. Walker,R,R
H0347,"H. Otto Wachsmann, Jr.",R,Criminal Justice,Derived from LIS bill description,Present both years,True,True,78.0,88.0,78.0,87.0,9.0,1.0,5.0,4.0,1.282051282051282,5.747126436781609,4.465075154730327,1.0,7.0,6.0,"H. Otto Wachsmann, Jr.","H. Otto Wachsmann, Jr.",R,R
H0348,Wren M. Williams,R,Education,Derived from LIS bill description,Present both years,True,True,133.0,152.0,131.0,145.0,14.0,7.0,14.0,7.0,5.343511450381679,9.655172413793103,4.311660963411424,22.0,16.0,-6.0,Wren M. Williams,Wren M. Williams,R,R
H0247,Michael J. Webert,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,70.0,75.0,69.0,72.0,3.0,0.0,3.0,3.0,0.0,4.166666666666666,4.166666666666666,5.0,4.0,-1.0,Michael J. Webert,Michael J. Webert,R,R
H0357,Will Davis,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,62.0,75.0,62.0,75.0,13.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,Will Davis,Will Davis,R,R
H0247,Michael J. Webert,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,108.0,151.0,108.0,144.0,36.0,1.0,7.0,6.0,0.9259259259259258,4.861111111111112,3.935185185185186,1.0,10.0,9.0,Michael J. Webert,Michael J. Webert,R,R
H0328,Scott A. Wyatt,R,Health and Healthcare,Derived from LIS bill description,Present both years,True,True,72.0,80.0,71.0,80.0,9.0,0.0,3.0,3.0,0.0,3.75,3.75,1.0,4.0,3.0,Scott A. Wyatt,Scott A. Wyatt,R,R
H0377,Delores Oates,R,Elections and Voting,Derived from LIS bill description,Present both years,True,True,54.0,84.0,54.0,84.0,30.0,0.0,3.0,3.0,0.0,3.571428571428571,3.571428571428571,4.0,6.0,2.0,Delores Oates,Delores Oates,R,R
H0262,"James A. ""Jay"" Leftwich",R,Family and Children,Derived from LIS bill description,Present both years,True,True,66.0,60.0,65.0,57.0,-8.0,0.0,2.0,2.0,0.0,3.508771929824561,3.508771929824561,1.0,4.0,3.0,"James A. ""Jay"" Leftwich","James A. ""Jay"" Leftwich",R,R
H0356,Rae Cousins,D,Transportation,Derived from LIS bill description,Present both years,True,True,67.0,115.0,67.0,115.0,48.0,0.0,4.0,4.0,0.0,3.4782608695652173,3.4782608695652173,0.0,4.0,4.0,Rae Cousins,Rae Cousins,D,D
H0262,"James A. ""Jay"" Leftwich",R,Housing,Derived from LIS bill description,Present both years,True,True,62.0,87.0,58.0,87.0,29.0,2.0,6.0,4.0,3.4482758620689653,6.896551724137931,3.4482758620689653,12.0,11.0,-1.0,"James A. ""Jay"" Leftwich","James A. ""Jay"" Leftwich",R,R
H0238,M. Keith Hodges,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,90.0,150.0,90.0,147.0,57.0,0.0,5.0,5.0,0.0,3.4013605442176877,3.4013605442176877,0.0,6.0,6.0,M. Keith Hodges,M. Keith Hodges,R,R
