year,vote_id,member_id,MBR_NAME,MBR_HOU,party,vote,own_party_position,other_party_position,broke_with_party,cross_party,Subject_Id,Subject_Name,eligible_cross_party
2026,26110244,H0305,Kathy K.L. Tran,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0305,Kathy K.L. Tran,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0308,Joseph P. McNamara,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0308,Joseph P. McNamara,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0311,Alex Q. Askew,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0311,Alex Q. Askew,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0314,Joshua G. Cole,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0314,Joshua G. Cole,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0317,Dan I. Helmer,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0317,Dan I. Helmer,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0321,Chris S. Runion,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0321,Chris S. Runion,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0322,Don Scott,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0322,Don Scott,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0323,Shelly A. Simonds,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0323,Shelly A. Simonds,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0325,Wendell S. Walker,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0325,Wendell S. Walker,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0327,Rodney T. Willett,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0327,Rodney T. Willett,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0328,Scott A. Wyatt,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0328,Scott A. Wyatt,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0329,Bill Wiley,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0329,Bill Wiley,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0333,Jason S. Ballard,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0333,Jason S. Ballard,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0334,Elizabeth B. Bennett-Parker,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0334,Elizabeth B. Bennett-Parker,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0335,Mike A. Cherry,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0335,Mike A. Cherry,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0336,Nadarius E. Clark,H,D,X,Y,N,False,False,445,Trade and Commerce,False
2026,26110244,H0336,Nadarius E. Clark,H,D,X,Y,N,False,False,721,Firearms,False
2026,26110244,H0340,Michelle Lopes Maldonado,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0340,Michelle Lopes Maldonado,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0342,Phillip A. Scott,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0342,Phillip A. Scott,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0343,Briana D. Sewell,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0343,Briana D. Sewell,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0344,Irene Shin,H,D,X,Y,N,False,False,445,Trade and Commerce,False
2026,26110244,H0344,Irene Shin,H,D,X,Y,N,False,False,721,Firearms,False
2026,26110244,H0345,Anne Ferrell Tata,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0345,Anne Ferrell Tata,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0347,"H. Otto Wachsmann, Jr.",H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0347,"H. Otto Wachsmann, Jr.",H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0348,Wren M. Williams,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0348,Wren M. Williams,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0349,Jackie H. Glass,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0349,Jackie H. Glass,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0350,Ellen H. McLaughlin,H,R,N,N,Y,False,False,445,Trade and Commerce,True
2026,26110244,H0350,Ellen H. McLaughlin,H,R,N,N,Y,False,False,721,Firearms,True
2026,26110244,H0351,Holly M. Seibold,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0351,Holly M. Seibold,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0353,Bonita G. Anthony,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
2026,26110244,H0353,Bonita G. Anthony,H,D,Y,Y,N,False,False,721,Firearms,True
2026,26110244,H0354,Katrina Callsen,H,D,Y,Y,N,False,False,445,Trade and Commerce,True
